"adm_03","rowcacode3","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Karguibangou","NER003004006",1982,0.397,0.189257846153846,0.0613538510491111,0.381372413793103,0.0703395128570387,0.222173648524674
"Dosso","NER003004001",1982,0.4104,0.188724615384615,0.0650288412528,0.377375862068966,0.0614446304475618,0.537461738975191
"Goroubankassam","NER003004005",1982,0.4101,0.189584615384615,0.0618088107276847,0.382237931034483,0.0650645745932076,0.428221795650162
"Mokko","NER003004007",1982,0.3364,0.177809230769231,0.0521835297649311,0.339868965517241,0.028619200640832,-0.121211125383148
"Garankédey","NER003004003",1982,0.3542,0.182473230769231,0.0586611070889417,0.350934482758621,0.0677047174757631,0.0482317534601379
"Tombokoirey I","NER003004010",1982,0.366,0.183874153846154,0.0556013524541386,0.343455172413793,0.0203280521554205,1.10905006607803
"Tombokoirey II","NER003004011",1982,0.3487,0.180318,0.0534110292628178,0.343148275862069,0.0421249893657439,0.131791704200303
"Falmey","NER003005001",1982,0.4249,0.198645551150706,0.0681100841945933,0.428487519735229,0.0421390628206721,-0.0851352520699416
"Guilladjé","NER003005002",1982,0.4875,0.200687384615385,0.0689449601170822,0.451151724137931,0.038447363096369,0.945403609890264
"Gaya","NER003006003",1982,0.4612,0.202761574074074,0.0811442928772866,0.497520689655172,0.0306345903853604,-1.18561042267205
"Bengou","NER003006002",1982,0.4927,0.216705864197531,0.09044930637837,0.5301,0.0664992320041582,-0.56241251023262
"Tounouga","NER003006005",1982,0.4593,0.201583950617284,0.0849675490148015,0.481937931034483,0.0297033958351218,-0.762132759504732
"Bana","NER003006001",1982,0.4906,0.220036728395062,0.0904441481853096,0.516648275862069,0.0313559588856005,-0.830728090858386
"Tanda","NER003006004",1982,0.4747,0.202980555555556,0.0810245975628187,0.492496551724138,0.0322536651600428,-0.551768353637685
"Yélou","NER003006006",1982,0.47,0.212706461538462,0.081222858646822,0.476872413793103,0.0301826096636519,-0.227694485986734
"Loga","NER003007002",1982,0.3064,0.169940780671234,0.0467525942269747,0.317498313653021,0.0380555555486545,-0.291634519402349
"Falwel","NER003007001",1982,0.3448,0.175060461538462,0.0514101551921903,0.355803448275862,0.041147665119999,-0.267413673261234
"Sokorbé","NER003007003",1982,0.327,0.175914,0.0523345688342011,0.330489655172414,0.03680268182025,-0.0948206760979485
"Guéchémé","NER003008002",1982,0.3679,0.187756,0.0591984088249626,0.360610344827586,0.0799280763509454,0.0912026850290578
"Doumega","NER003008001",1982,0.3529,0.181188734567901,0.0548650196007721,0.352710344827586,0.0935219467933581,0.0020279215619069
"Tibiri","NER003008004",1982,0.353,0.178678395061728,0.0519729814531682,0.343537931034483,0.0880850133750389,0.107419736944702
"Koré Maïroua","NER003008003",1982,0.3354,0.177203395061728,0.0508819954917067,0.327703448275862,0.040215832727552,0.191381135292644
"Tchadoua","NER004001002",1982,0.3377,0.183772897196262,0.0521941727532157,0.344606896551724,0.0831275866666694,-0.0830878993205938
"Aguié","NER004001001",1982,0.3222,0.180040192836036,0.0506775307903466,0.346781151356508,0.118465043142139,-0.20749708694247
"Bermo","NER004002001",1982,0.3447,0.155902492211838,0.0510762040364148,0.339927586206897,0.0559005998980826,0.0853732124843823
"Gadabedji","NER004002002",1982,0.25955,0.139742589330335,0.0328064015252637,0.299456347913318,0.0581364120271874,-0.686426054202593
"Adjekoria","NER004003001",1982,0.2659,0.154729906542056,0.0371260409322586,0.327775862068966,0.134131802597223,-0.461306423017137
"Kornaka","NER004003008",1982,0.271044078947368,0.15691273051718,0.0368071457162625,0.301676098473932,0.101793182694091,-0.300924076798142
"Birni Lallé","NER004003004",1982,0.2816,0.152316510903427,0.0394112453214582,0.305862068965517,0.0847208964516223,-0.28637644290475
"Dan-Goulbi","NER004003006",1982,0.3083,0.162866355140187,0.0457674350874722,0.321662068965517,0.0420712271357677,-0.317605876396155
"Sabon Machi","NER004003011",1982,0.2894,0.162771962616822,0.0405315852015265,0.303987931034483,0.0565136608882762,-0.258131057255735
"Maïyara","NER004003009",1982,0.2845,0.160009034267913,0.0383849711720218,0.2978,0.0486821762631282,-0.273200604839709
"Dakoro","NER004003005",1982,0.2849,0.152535202492212,0.0404146402623727,0.304118965517241,0.0636813810165683,-0.301798817965978
"Bader Goula","NER004003003",1982,0.2958,0.145683725463975,0.0391175999540348,0.290377882129106,0.0484138427056847,0.111995197403684
"Roumbou I","NER004003010",1982,0.3078,0.150934423676012,0.0451679702651109,0.318437931034483,0.0615653857629263,-0.172790780121916
"Azagor","NER004003002",1982,0.3087,0.147004361370717,0.0433178064532243,0.340403448275862,0.0710871722543055,-0.445979876122333
"Korahane","NER004003007",1982,0.3118,0.157379906542056,0.0456350924761169,0.325548275862069,0.0808957690077161,-0.169950493464715
"Tagriss","NER004003012",1982,0.2579,0.145201044046886,0.0336555494696452,0.290005078607626,0.0995129324133641,-0.322622174113668
"Gangara","NER004004001",1982,0.331,0.184557476635514,0.0553021163150673,0.378375862068966,0.1185243514918,-0.399714163989695
"Gazaoua","NER004004002",1982,0.3106,0.181201557632399,0.049171574271282,0.357534482758621,0.124417632753165,-0.377233368936821
"Guidan Roumdji","NER004005002",1982,0.3298,0.169596884735203,0.0519543620908273,0.34381724137931,0.073683822943349,-0.190234990794212
"Chadakori","NER004005001",1982,0.3013,0.165967858098195,0.0440150667559192,0.300179512556424,0.0362864484221985,0.0308789504704046
"Guidan Sori","NER004005003",1982,0.3451,0.179076947040498,0.0545823211250705,0.359865517241379,0.0391231323229444,-0.377411428090583
"Tibiri","NER004005005",1982,0.3709,0.183317133956386,0.0596147081202292,0.371886206896552,0.0358769098460071,-0.0274886243209006
"Saé Saboua","NER004005004",1982,0.307,0.170359034267913,0.0458312739090563,0.320420689655172,0.0401491538721583,-0.334270796787055
"Sarkin Yamma","NER004006006",1982,0.3248,0.176519937694704,0.0493720931865473,0.354696551724138,0.0536444876861854,-0.557308924246412
"Safo","NER004006005",1982,0.4029,0.192308566978193,0.0649875276240759,0.390834482758621,0.030442337481377,0.396340039550523
"Gabi","NER004006003",1982,0.3982,0.18908691588785,0.06444519389195,0.385375862068966,0.0286875490061507,0.447028009548148
"Madarounfa","NER004006004",1982,0.3666,0.185473520249221,0.0582802465710434,0.378589655172414,0.0789186803199868,-0.15192417211996
"Dan-Issa","NER004006001",1982,0.3999,0.19421308411215,0.0616129573691365,0.388303448275862,0.100137813903635,0.115805920581585
"Djiratawa","NER004006002",1982,0.3535,0.183501557632399,0.0531502342780933,0.338606896551724,0.0389370639717341,0.382491691183684
"Maradi III","NER004007003",1982,0.3314,0.175785669781931,0.0529056097592979,0.390575862068966,0.0736516979494529,-0.803455503627057
"Maradi I","NER004007001",1982,0.3415,0.1739246105919,0.0533388002412504,0.402037931034483,0.117089933121612,-0.517020801195664
"Maradi II","NER004007002",1982,0.3314,0.175433021806854,0.0530225562251826,0.392924137931034,0.0804981572778107,-0.764292500742667
"Sarkin Haoussa","NER004008007",1982,0.2904,0.165541433021807,0.0417025860611789,0.306713793103448,0.0828356622826957,-0.196941663214736
"Mayahi","NER004008006",1982,0.2883,0.162486292834891,0.0406118909498989,0.2955,0.033253109414223,-0.216521105148754
"Kanan-Bakaché","NER004008005",1982,0.3141,0.167764285714286,0.0452920842418526,0.314637931034483,0.0632700810234139,-0.00850213917512969
"Attantane","NER004008001",1982,0.2692,0.15653800623053,0.0361587332260474,0.290527586206897,0.0546558903932577,-0.390215694108013
"Guidan Amoumoune","NER004008003",1982,0.254949112426035,0.151140296352479,0.0331778860180453,0.29335004665578,0.099266950540711,-0.386845108271918
"El Allassane Maïreyrey","NER004008002",1982,0.2712,0.151490805547617,0.0355979165564914,0.304181860754798,0.0863301865426295,-0.382043200364361
"Issawane","NER004008004",1982,0.3017,0.160394548286604,0.042484155611221,0.290189655172414,0.0406326166031638,0.283278454351128
"Tchaké","NER004008008",1982,0.2741,0.154145962732919,0.0348204204665741,0.301979310344828,0.106062065317942,-0.262858452371768
"Tessaoua","NER004009007",1982,0.3109,0.170768691588785,0.0471030850187407,0.3093,0.0392485759523287,0.0407658102536854
"Maïjirgui","NER004009005",1982,0.3071,0.167296261682243,0.0471685891084449,0.299106896551724,0.043533385637056,0.183608587554285
"Baoudetta","NER004009001",1982,0.3142,0.168148598130841,0.0482504825710699,0.349596551724138,0.158910620616835,-0.2227450348299
"Koona","NER004009003",1982,0.3178,0.169328037383178,0.0482171814444664,0.314389655172414,0.0540715157706346,0.063071004742174
"Korgom","NER004009004",1982,0.3175,0.182557009345794,0.0492201250356806,0.337937931034483,0.115493974529883,-0.176961015651899
"Hawandawaki","NER004009002",1982,0.3233,0.188730529595016,0.051381994074103,0.350934482758621,0.0502284728292492,-0.550175651419139
"Ourafane","NER004009006",1982,0.294824025974026,0.160664524986113,0.0412674367386378,0.281190555093125,0.0458101680684826,0.297607964688542
"Tabalak","NER005001004",1982,0.2631,0.143880373831776,0.0412981276571325,0.324041379310345,0.0988210992408626,-0.616683884094516
"Akoubounou","NER005001002",1982,0.298233333333333,0.146314547015075,0.0422930805964512,0.33768451765479,0.127211690265608,-0.310122318468421
"Abalak","NER005001001",1982,0.253968688172043,0.139330365850073,0.0336332759755654,0.256999159199146,0.0576777874925776,-0.0525413882682751
"Azeye","NER005001003",1982,0.338274705882353,0.147451486596651,0.046207708866488,0.337514926135609,0.0653744669269415,0.0116219646975161
"Tamaya","NER005001005",1982,0.262816770186335,0.138651926359776,0.0310684653416647,0.230473531013726,0.0515593843696136,0.627300724553841
"Bagaroua","NER005002001",1982,0.218,0.133416153358497,0.0309642492377731,0.250426813524331,0.0729506461301523,-0.444503445061722
"Alléla","NER005003001",1982,0.3019,0.157011225769795,0.0446969427568753,0.309966935431532,0.050672763290423,-0.159196675051988
"Birni N'Konni","NER005003003",1982,0.2807,0.153033850931677,0.0435031377471427,0.324372413793103,0.0446005597062231,-0.979189814674227
"Bazaga","NER005003002",1982,0.315,0.160533540372671,0.0487898148863869,0.369179310344828,0.0525249082362042,-1.03149747737176
"Tsernaoua","NER005003004",1982,0.3149,0.150159813084112,0.0472355146972588,0.370293103448276,0.0836546511858404,-0.662164059774979
"Allakaye","NER005004001",1982,0.254,0.127702803738318,0.0402050909197391,0.329879310344828,0.0748437676540288,-1.01383605774078
"Déoulé","NER005004004",1982,0.2812,0.141703738317757,0.0414010165754575,0.303506896551724,0.0594174573374964,-0.375426643133162
"Bouza","NER005004003",1982,0.2888,0.144175856697819,0.0394537256791662,0.299793103448276,0.0496372263170818,-0.221468930960245
"Tama","NER005004007",1982,0.2675,0.1359,0.0409532074827479,0.330834482758621,0.070962672661971,-0.892504191045805
"Tabotaki","NER005004006",1982,0.2858,0.152715887850467,0.0438681557685912,0.311451724137931,0.0485103863745373,-0.528788287520122
"Babankatami","NER005004002",1982,0.3355,0.158994704049844,0.0498431458739842,0.32658275862069,0.0497272494209701,0.179323036828776
"Karofane","NER005004005",1982,0.2951,0.15285031152648,0.040934316668935,0.318889655172414,0.114836313149343,-0.207161432825483
"Illéla","NER005005002",1982,0.240333333333333,0.138232321465739,0.0345008119095365,0.287466601939429,0.0612428578121047,-0.76961249507171
"Badaguichiri","NER005005001",1982,0.2671,0.130758099688474,0.0383920462523168,0.314810344827586,0.06265237052195,-0.761509012829309
"Tajaé","NER005005003",1982,0.2707,0.138568944099379,0.0386527245291111,0.338244827586207,0.0868922756151337,-0.777339839566164
"Keita","NER005006003",1982,0.2116,0.126833644859813,0.0336093391334311,0.269637931034483,0.0475050178837766,-1.22172211736612
"Tamaské","NER005006004",1982,0.2426,0.131969781931464,0.0385992370344259,0.302703448275862,0.0633940369140202,-0.948093088903282
"Ibohamane","NER005006002",1982,0.2484,0.129189035716935,0.0373529842379959,0.290732666864356,0.0751986951524442,-0.562944167828156
"Garhanga","NER005006001",1982,0.2289,0.127072585669782,0.0357842632466552,0.297679310344828,0.0681931363288457,-1.00859579200398
"Galma Koudawatché","NER005007003",1982,0.2609,0.146420093457944,0.0390926320942161,0.311893103448276,0.0437091763088263,-1.166645262038
"Sabon Guida","NER005007006",1982,0.2492,0.148574143302181,0.0363164595685193,0.316165517241379,0.0446816938854483,-1.49872378189289
"Bangui","NER005007002",1982,0.3236,0.158769781931464,0.0454679473944536,0.36451724137931,0.123070006410305,-0.332471270399513
"Madaoua","NER005007004",1982,0.2577,0.145366355140187,0.0360497961434733,0.298272413793103,0.0412615515994502,-0.983298306058955
"Ourno","NER005007005",1982,0.2654,0.148985619880858,0.0373239578821348,0.295361419204591,0.0436459335217562,-0.686465308151933
"Azarori","NER005007001",1982,0.26,0.1415534375,0.035467750207209,0.297868965517241,0.0455218244632512,-0.831885935235575
"Malbaza","NER005008002",1982,0.3073,0.147767601246106,0.0472318314292967,0.348375862068966,0.0508428296333234,-0.80789882005394
"Doguerawa","NER005008001",1982,0.2672,0.141401869158879,0.0404832449476981,0.308679310344828,0.0501858288144482,-0.826514403063638
"Tebaram","NER005009006",1982,0.222,0.134164971073784,0.030819825709716,0.240710358448912,0.083886165080489,-0.22304462757308
"Bambeye","NER005009002",1982,0.2171,0.13567867577352,0.0322961512038847,0.245871672480427,0.0498237519569814,-0.577469005250133
"Takanamat","NER005009005",1982,0.203555105633803,0.125559194292729,0.0285690418183984,0.223443332903005,0.0685280065119991,-0.290220426384637
"Affala","NER005009001",1982,0.22105,0.120672206186501,0.0323736056899291,0.256848529697103,0.0740779002711693,-0.483255189011285
"Kalfou","NER005009004",1982,0.2173,0.129709216580308,0.0327967729334033,0.274418639023328,0.0534914682524057,-1.06780839803849
"Barmou","NER005009003",1982,0.231,0.135723125,0.0355484264550852,0.289837931034483,0.059976491905419,-0.981016547737875
"Tassara","NER005010001",1982,0.1665934648898,0.126093156042877,0.0207884803560908,0.200515007655771,0.120093515710663,-0.282459403117958
"Kao","NER005011001",1982,0.234066753926702,0.128051774386873,0.0343564456182901,0.255958179509584,0.0592974075638499,-0.369180146017508
"Tchintabaraden","NER005011002",1982,0.247218232044199,0.139231329341878,0.0322124301006636,0.243161494727417,0.0844238214302233,0.048052045596342
"Tillia","NER005012001",1982,0.202177419354839,0.132715907417365,0.0262349820921322,0.255011213244035,0.143274717586131,-0.368758667120974
"Tahoua I","NER005013001",1982,0.2285,0.135128348909657,0.0317415417879769,0.272996551724138,0.093394353923712,-0.476437277573378
"Tahoua II","NER005013002",1982,0.2134,0.131215576323988,0.0309973145065817,0.291644827586207,0.122644409301871,-0.637981201357648
"Abala","NER006001001",1982,0.217804846938775,0.134436224325324,0.0279891272391156,0.23781750145872,0.106902181706212,-0.187205295537779
"Sanam","NER006001002",1982,0.2341,0.136676116643829,0.0322407018384565,0.250629194679557,0.103223082368492,-0.160130799238784
"Inatès","NER006002002",1982,0.2339,0.13582535184029,0.0329616365537831,0.216120495877514,0.046814520175716,0.379786101742618
"Ayerou","NER006002001",1982,0.2448,0.137987305592761,0.0347283442876522,0.21243507589815,0.0319120913122167,1.01419000670318
"Tagazar","NER006003001",1982,0.2981,0.166743330681933,0.0447222042712219,0.290635390895119,0.0391794782088379,0.190523443551058
"Banibangou","NER006004001",1982,0.2651,0.136683291765575,0.0328113221023796,0.207182052970777,0.0345021391846982,1.67867698635074
"Bankilaré","NER006005001",1982,0.2587,0.150741333568742,0.0366023573008954,0.281494549712458,0.0546999685460674,-0.416719612795775
"Filingué","NER006006001",1982,0.273789774078478,0.143697536004587,0.036426938434649,0.259241118441807,0.123132761765362,0.118154221736655
"Imanan","NER006006002",1982,0.2897,0.154361846153846,0.0398010386245578,0.261696551724138,0.0339653024923821,0.824472217850638
"Tondikandia","NER006006004",1982,0.2923,0.159563311042157,0.0416389605069668,0.270875777866495,0.0328416026901109,0.652350079734583
"Kourfeye Centre","NER006006003",1982,0.265880905752754,0.144314540753125,0.0368970888443919,0.268608184536461,0.0438328073684309,-0.0622200344318135
"Gothèye","NER006007002",1982,0.33702,0.169147218655604,0.0516916211718232,0.301086307817068,0.0388439459280951,0.92507831849651
"Dargol","NER006007001",1982,0.298490927419355,0.158699540528536,0.0420479326591511,0.295781580269147,0.0338158696900529,0.0801205816985162
"Karma","NER006008004",1982,0.2827,0.156957482461463,0.0415470884770181,0.277053146806283,0.0432538398810793,0.130551488821384
"Namaro","NER006008010",1982,0.3251,0.166,0.0492867103323463,0.290534482758621,0.0323541372477205,1.06834921842382
"Kirtachi","NER006008005",1982,0.4455,0.200604754601227,0.0744995873014975,0.421003448275862,0.0485828856018147,0.504221834925815
"Bitinkodji","NER006008001",1982,0.3404,0.169161809815951,0.0527919506402898,0.312441379310345,0.0400270044313067,0.698493956439761
"Youri","NER006008011",1982,0.3335,0.169178834355828,0.0521207108977156,0.329227586206897,0.0378446816092879,0.112893373954424
"Kollo","NER006008006",1982,0.3169,0.166765030674847,0.0523747430718778,0.311462068965517,0.0331519382518159,0.164030561144789
"Kouré","NER006008007",1982,0.359,0.173388957055215,0.0565235455430308,0.315189655172414,0.0349749639520654,1.25262015673926
"N'Dounga","NER006008009",1982,0.3253,0.164630674846626,0.0488333855929144,0.315113793103448,0.0786906044679229,0.129446291147808
"Liboré","NER006008008",1982,0.3174,0.16056717791411,0.0456570506410795,0.287055172413793,0.0429013784844038,0.707315910542089
"Hamdallaye","NER006008003",1982,0.3261,0.166474670565575,0.0469625329799897,0.300756403386201,0.0373008718233512,0.679437111653067
"Diantchandou","NER006008002",1982,0.3319,0.173197538461538,0.0519883723357412,0.32308275862069,0.0375213659986406,0.2349925474363
"Simiri","NER006009003",1982,0.285138860103627,0.157791837930282,0.0411326704364647,0.261783465119467,0.0314998490534871,0.741444663576067
"Ouallam","NER006009002",1982,0.2218,0.139116816945605,0.0333766063870292,0.226259644931433,0.0253391371141833,-0.175998295101246
"Dingazi","NER006009001",1982,0.273157142857143,0.14426442769516,0.0382959826129577,0.2503857733669,0.142647591858666,0.159633746308209
"Tondikiwindi","NER006009004",1982,0.221198339264531,0.134433911905823,0.0319496307465392,0.213923056978058,0.0636118910950622,0.114369847543135
"Ouro Guéladjo","NER006010001",1982,0.3984,0.184889877300614,0.0620794943624108,0.388,0.0390019779718194,0.266653142758925
"Tamou","NER006010003",1982,0.510668574199806,0.200224210948197,0.0787572993137732,0.52801026981071,0.0415884057498153,-0.416983899676928
"Say","NER006010002",1982,0.3755,0.175968098159509,0.0569931873991123,0.35671724137931,0.0379132098065109,0.495414625048815
"Gorouol","NER006011002",1982,0.241333420707733,0.143003443960455,0.0343998251144108,0.2525580165494,0.0431043027089912,-0.260405461548641
"Kokorou","NER006011003",1982,0.261766230366492,0.150837079618,0.0357133071943619,0.306034379737278,0.0495099973644119,-0.894125464094783
"Téra","NER006011005",1982,0.2481,0.144092470955688,0.0332479033803263,0.27472677893694,0.0359885659438213,-0.739867739617768
"Méhana","NER006011004",1982,0.2856,0.154675766871166,0.0379774434493498,0.316006896551724,0.0770612554634043,-0.394580861275535
"Diagourou","NER006011001",1982,0.2751,0.150733821753265,0.0378051636603525,0.287460686187212,0.0358007684171365,-0.345263153103023
"Dessa","NER006012003",1982,0.2631,0.149159509202454,0.038311073535607,0.278644827586207,0.0967234296708437,-0.160714189303533
"Sinder","NER006012006",1982,0.242,0.146941384615385,0.0358732321316431,0.294458620689655,0.0736844212903019,-0.711936387244987
"Sakoïra","NER006012005",1982,0.2245,0.135029846153846,0.0320032463868472,0.244762068965517,0.0770510332451028,-0.262969464680152
"Bibiyergou","NER006012002",1982,0.2692,0.147856790123457,0.0370702978355348,0.303889655172414,0.0801187482287011,-0.432977997526762
"Tillabéri","NER006012007",1982,0.2179,0.135696932515337,0.0318032710911951,0.232468965517241,0.0289498964154115,-0.50324758707895
"Kourteye","NER006012004",1982,0.2793,0.150109319308576,0.0413578329500003,0.254572863872891,0.0334097753505489,0.740116803170986
"Anzourou","NER006012001",1982,0.2219,0.136006571629041,0.0338619746530487,0.226116484870893,0.0704775360747845,-0.0598273592654922
"Torodi","NER006013002",1982,0.383292771084337,0.181363647283282,0.0569618357527557,0.370743263256279,0.0417592811277179,0.300520207464205
"Makalondi","NER006013001",1982,0.423444721906924,0.197089770554402,0.0656801371034591,0.468242357858097,0.0461030095832189,-0.971685717616986
"Tarka","NER007001001",1982,0.245130321046373,0.13795914486444,0.0317155292726905,0.266985845352453,0.0968531521573991,-0.225656303581753
"Guidimouni","NER007002003",1982,0.3228,0.166504672897196,0.0474893285048946,0.324413793103448,0.0565843600560761,-0.028520126442165
"Wamé","NER007002006",1982,0.2656,0.14743769470405,0.0356790149236074,0.283105172413793,0.082754864277433,-0.211530434695749
"Albarkaram","NER007002001",1982,0.2734,0.149678816199377,0.0363321670471806,0.288903448275862,0.0815499079563228,-0.190109942051259
"Damagaram Takaya","NER007002002",1982,0.3128,0.15433546427888,0.0433166539421289,0.294752663860171,0.0572119766920559,0.315446820461544
"Mazamni","NER007002004",1982,0.3153,0.16241308411215,0.0446500022762713,0.315986206896552,0.0757695741995706,-0.00905649667166314
"Moa","NER007002005",1982,0.3422,0.1548625,0.0476328220524159,0.312575862068966,0.0779860182302499,0.379864732208415
"Dungass","NER007003002",1982,0.3473,0.179465142017438,0.0530545173879813,0.341448417624521,0.0385743425620571,0.151696230883652
"Gouchi","NER007003003",1982,0.319,0.172687415485037,0.0458846804037708,0.333554128970588,0.0341191370080553,-0.426567910177565
