"adm_03","rowcacode3","year","total_precip","median_precip","sd_precip"
"Aderbissinat","NER001001001",1981,126.708916580738,0.173862968393496,3.91932127637667
"Aderbissinat","NER001001001",1982,115.116126226099,0.154679418282012,3.4382177521842
"Aderbissinat","NER001001001",1983,86.9552630231282,0.151012643756544,2.11285764368544
"Aderbissinat","NER001001001",1984,56.4839337932119,0.166862906035976,1.05233706354034
"Aderbissinat","NER001001001",1985,116.040617040344,0.150904945061638,3.33350584010768
"Aderbissinat","NER001001001",1986,129.20428284507,0.166085670294395,3.24605144224561
"Aderbissinat","NER001001001",1987,80.2341978359779,0.156442869860737,1.95497960559531
"Aderbissinat","NER001001001",NA,253.54349199188,7.77174599594,116.500579127664
"Aderbissinat","NER001001001",1988,173.001000147967,0.146653245429985,5.98859035583669
"Aderbissinat","NER001001001",1989,117.293590336034,0.153055765271724,3.16846430366567
"Aderbissinat","NER001001001",1990,73.9945051146495,0.152939967045472,1.58271376788786
"Aderbissinat","NER001001001",1991,118.152126610983,0.151101006661782,2.9849127139369
"Aderbissinat","NER001001001",1992,95.6746077208664,0.158423303353228,2.15581758014515
"Aderbissinat","NER001001001",1993,106.976959589689,0.148068904864541,3.28500357522468
"Aderbissinat","NER001001001",1994,169.018612378733,0.149929816849585,4.66845304049811
"Aderbissinat","NER001001001",1995,87.1159870070711,0.156102763378775,1.92102711926981
"Aderbissinat","NER001001001",1996,79.788780331404,0.145218941579715,1.60504698663958
"Aderbissinat","NER001001001",1997,117.852959636977,0.143323218623701,2.95657455640014
"Aderbissinat","NER001001001",1998,169.654130236169,0.145034291477943,4.85095371506535
"Aderbissinat","NER001001001",1999,184.717562057525,0.14442773881492,5.12532532362813
"Aderbissinat","NER001001001",2000,106.67030267771,0.149991038388804,3.24580369148601
"Aderbissinat","NER001001001",2001,119.983406567908,0.149031840647167,3.4874819507394
"Aderbissinat","NER001001001",2002,140.867373275152,0.150472908465867,3.97926956884965
"Aderbissinat","NER001001001",2003,154.730387981706,0.194530102689615,3.97608515813031
"Aderbissinat","NER001001001",2004,105.519588836115,0.150921603275717,2.90796274092689
"Aderbissinat","NER001001001",2005,127.932531078293,0.137130156838531,3.13211864900463
"Aderbissinat","NER001001001",2006,112.499707366633,0.136335626831459,2.9228657168362
"Aderbissinat","NER001001001",2007,133.52010106281,0.139049984480829,3.83659648557645
"Aderbissinat","NER001001001",2008,123.14312107306,0.140008419498821,3.59174236841932
"Aderbissinat","NER001001001",2009,93.1202994242364,0.165619877156534,2.64278075936268
"Aderbissinat","NER001001001",2010,156.953377852133,0.134977092487552,4.36262045596575
"Aderbissinat","NER001001001",2011,110.6058858644,0.140359775517921,2.77862113254119
"Aderbissinat","NER001001001",2012,140.628282564916,0.14112608697781,3.68016990416346
"Aderbissinat","NER001001001",2013,117.278460884262,0.119060168591172,3.43380999649478
"Aderbissinat","NER001001001",2014,106.163942646598,0.126009613731857,2.6924025777815
"Aderbissinat","NER001001001",2015,141.435510092094,0.136383272034889,4.10501272910122
"Aderbissinat","NER001001001",2016,123.670736336383,0.130641760555457,3.012166767262
"Aderbissinat","NER001001001",2017,101.853503182661,0.139423977388109,2.3419229977475
"Aderbissinat","NER001001001",2018,147.403415701282,0.142942751899238,3.56149587100658
"Aderbissinat","NER001001001",2019,133.713704655744,0.129014043962776,3.53123755717481
"Aderbissinat","NER001001001",2020,152.33941413693,0.131614898407785,4.1926981488591
"Aderbissinat","NER001001001",2021,108.50830534118,0.143152391199807,2.77585160922035
"Gougaram","NER001002003",1981,61.5637864532342,0.0513492448179932,2.10313128172873
"Gougaram","NER001002003",1982,31.1860634119214,0.0513486391541414,0.599981108986003
"Gougaram","NER001002003",1983,27.6187816898743,0.0512918680642652,0.499953810013698
"Gougaram","NER001002003",1984,31.9418456356931,0.05122122192683,0.668185639540708
"Gougaram","NER001002003",1985,34.9533009665802,0.0518056680515632,0.728019004600553
"Gougaram","NER001002003",1986,40.1892322701389,0.0512956415303051,0.897882587913478
"Gougaram","NER001002003",1987,37.0509436319177,0.0512451753628445,0.841324925567244
"Gougaram","NER001002003",NA,278.66543166719,7.332715833595,129.629291967649
"Gougaram","NER001002003",1988,44.2907086758634,0.0512588991865675,1.22416894386806
"Gougaram","NER001002003",1989,49.4519876347528,0.0512831005438064,1.7612853875675
"Gougaram","NER001002003",1990,30.1018767484726,0.0512652789897372,0.657664944760375
"Gougaram","NER001002003",1991,49.9937150241915,0.0513048497680041,1.82465495774786
"Gougaram","NER001002003",1992,48.2023254845317,0.0591215549929179,1.44197602473493
"Gougaram","NER001002003",1993,33.1835563598332,0.0514668556539723,0.717677798610759
"Gougaram","NER001002003",1994,56.857659299078,0.0514855508204369,1.8468486224786
"Gougaram","NER001002003",1995,47.2232829805408,0.0514972086262493,1.49848528609696
"Gougaram","NER001002003",1996,28.1519634781415,0.0516918815160095,0.530961118428874
"Gougaram","NER001002003",1997,73.0674622352438,0.0497345720819245,2.92285067304296
"Gougaram","NER001002003",1998,83.5083192394643,0.05096955899924,2.84980607092816
"Gougaram","NER001002003",1999,72.5537267323005,0.052696460570432,2.95838770688694
"Gougaram","NER001002003",2000,53.0271392197742,0.0516793755641756,1.76862370462315
"Gougaram","NER001002003",2001,56.2552382423267,0.0516719729587309,1.69163029233857
"Gougaram","NER001002003",2002,47.7753109620495,0.0516791661979972,1.18069681539149
"Gougaram","NER001002003",2003,56.3431422204557,0.0511821022825731,2.01987258054493
"Gougaram","NER001002003",2004,39.3154248434044,0.0522698857355862,1.07359863053431
