"adm_03","rowcacode3","year","total_precip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Aderbissinat","NER001001001",1981,126.708916580738,119.297478523613,31.4852201737796,0.235394194997474
"Aderbissinat","NER001001001",1982,115.116126226099,119.297478523613,31.4852201737796,-0.1328036543634
"Aderbissinat","NER001001001",1983,86.9552630231282,119.297478523613,31.4852201737796,-1.02721897201211
"Aderbissinat","NER001001001",1984,56.4839337932119,119.297478523613,31.4852201737796,-1.99501684865813
"Aderbissinat","NER001001001",1985,116.040617040344,119.297478523613,31.4852201737796,-0.103440962626072
"Aderbissinat","NER001001001",1986,129.20428284507,119.297478523613,31.4852201737796,0.314649358231484
"Aderbissinat","NER001001001",1987,80.2341978359779,119.297478523613,31.4852201737796,-1.24068627984906
"Aderbissinat","NER001001001",NA,253.54349199188,119.297478523613,31.4852201737796,4.26377877389166
"Aderbissinat","NER001001001",1988,173.001000147967,119.297478523613,31.4852201737796,1.70567400602386
"Aderbissinat","NER001001001",1989,117.293590336034,119.297478523613,31.4852201737796,-0.0636453604744902
"Aderbissinat","NER001001001",1990,73.9945051146495,119.297478523613,31.4852201737796,-1.43886474856832
"Aderbissinat","NER001001001",1991,118.152126610983,119.297478523613,31.4852201737796,-0.0363774465069054
"Aderbissinat","NER001001001",1992,95.6746077208664,119.297478523613,31.4852201737796,-0.75028444052043
"Aderbissinat","NER001001001",1993,106.976959589689,119.297478523613,31.4852201737796,-0.391311188739427
"Aderbissinat","NER001001001",1994,169.018612378733,119.297478523613,31.4852201737796,1.57918965091204
"Aderbissinat","NER001001001",1995,87.1159870070711,119.297478523613,31.4852201737796,-1.02211422816545
"Aderbissinat","NER001001001",1996,79.788780331404,119.297478523613,31.4852201737796,-1.25483315581548
"Aderbissinat","NER001001001",1997,117.852959636977,119.297478523613,31.4852201737796,-0.0458792690241115
"Aderbissinat","NER001001001",1998,169.654130236169,119.297478523613,31.4852201737796,1.59937429163961
"Aderbissinat","NER001001001",1999,184.717562057525,119.297478523613,31.4852201737796,2.07780295557192
"Aderbissinat","NER001001001",2000,106.67030267771,119.297478523613,31.4852201737796,-0.401050898682263
"Aderbissinat","NER001001001",2001,119.983406567908,119.297478523613,31.4852201737796,0.0217857153454509
"Aderbissinat","NER001001001",2002,140.867373275152,119.297478523613,31.4852201737796,0.685080003648884
"Aderbissinat","NER001001001",2003,154.730387981706,119.297478523613,31.4852201737796,1.12538229882227
"Aderbissinat","NER001001001",2004,105.519588836115,119.297478523613,31.4852201737796,-0.437598645061149
"Aderbissinat","NER001001001",2005,127.932531078293,119.297478523613,31.4852201737796,0.274257334299077
"Aderbissinat","NER001001001",2006,112.499707366633,119.297478523613,31.4852201737796,-0.215903561082321
"Aderbissinat","NER001001001",2007,133.52010106281,119.297478523613,31.4852201737796,0.451723775812802
"Aderbissinat","NER001001001",2008,123.14312107306,119.297478523613,31.4852201737796,0.122141199210981
"Aderbissinat","NER001001001",2009,93.1202994242364,119.297478523613,31.4852201737796,-0.831411657752252
"Aderbissinat","NER001001001",2010,156.953377852133,119.297478523613,31.4852201737796,1.19598653338555
"Aderbissinat","NER001001001",2011,110.6058858644,119.297478523613,31.4852201737796,-0.276053100827647
"Aderbissinat","NER001001001",2012,140.628282564916,119.297478523613,31.4852201737796,0.677486259380419
"Aderbissinat","NER001001001",2013,117.278460884262,119.297478523613,31.4852201737796,-0.0641258859937317
"Aderbissinat","NER001001001",2014,106.163942646598,119.297478523613,31.4852201737796,-0.417133366212013
"Aderbissinat","NER001001001",2015,141.435510092094,119.297478523613,31.4852201737796,0.703124559596285
"Aderbissinat","NER001001001",2016,123.670736336383,119.297478523613,31.4852201737796,0.138898752768181
"Aderbissinat","NER001001001",2017,101.853503182661,119.297478523613,31.4852201737796,-0.554036949548754
"Aderbissinat","NER001001001",2018,147.403415701282,119.297478523613,31.4852201737796,0.892670815784061
"Aderbissinat","NER001001001",2019,133.713704655744,119.297478523613,31.4852201737796,0.457872806750647
"Aderbissinat","NER001001001",2020,152.33941413693,119.297478523613,31.4852201737796,1.04944273633613
"Aderbissinat","NER001001001",2021,108.50830534118,119.297478523613,31.4852201737796,-0.34267421739099
"Gougaram","NER001002003",1981,61.5637864532342,47.8080280698029,14.1347720302464,0.973185726235698
"Gougaram","NER001002003",1982,31.1860634119214,47.8080280698029,14.1347720302464,-1.17596269839462
"Gougaram","NER001002003",1983,27.6187816898743,47.8080280698029,14.1347720302464,-1.42833901648548
"Gougaram","NER001002003",1984,31.9418456356931,47.8080280698029,14.1347720302464,-1.12249298398011
"Gougaram","NER001002003",1985,34.9533009665802,47.8080280698029,14.1347720302464,-0.909440001983432
"Gougaram","NER001002003",1986,40.1892322701389,47.8080280698029,14.1347720302464,-0.539010872149959
"Gougaram","NER001002003",1987,37.0509436319177,47.8080280698029,14.1347720302464,-0.761036995493562
"Gougaram","NER001002003",NA,278.66543166719,47.8080280698029,14.1347720302464,16.3325876854176
"Gougaram","NER001002003",1988,44.2907086758634,47.8080280698029,14.1347720302464,-0.248841607520296
"Gougaram","NER001002003",1989,49.4519876347528,47.8080280698029,14.1347720302464,0.116306054418994
"Gougaram","NER001002003",1990,30.1018767484726,47.8080280698029,14.1347720302464,-1.25266621091883
"Gougaram","NER001002003",1991,49.9937150241915,47.8080280698029,14.1347720302464,0.154631921173655
"Gougaram","NER001002003",1992,48.2023254845317,47.8080280698029,14.1347720302464,0.027895562368114
"Gougaram","NER001002003",1993,33.1835563598332,47.8080280698029,14.1347720302464,-1.03464503556728
