"adm_03","rowcacode3","year","total_precip","mean_precip","median_precip","sd_precip"
"Zermou","NER007007008",2013,359.623203639713,4.99476671721823,0.217064951297843,10.0088767225853
"Zermou","NER007007008",2014,333.231010192389,4.6282084748943,0.18885248458369,8.74313021164893
"Zermou","NER007007008",2015,342.736818909027,4.76023359595871,0.189157874948723,9.77099820113594
"Zermou","NER007007008",2016,315.567188653725,4.38287762019063,0.192708986512669,7.93088935778808
"Zermou","NER007007008",2017,312.082062208827,4.33447308623371,0.182496091356798,8.67506172542951
"Zermou","NER007007008",2018,438.7843378132,6.09422691407222,0.186404150920975,11.2051977368403
"Zermou","NER007007008",2019,450.007809013485,6.25010845852063,0.199087985124774,12.1074209027165
"Zermou","NER007007008",2020,424.211339963476,5.89182416615938,0.188846552208961,11.1273150668405
"Zermou","NER007007008",2021,386.922328496143,5.3739212291131,0.199724136970902,10.1216104957718
"Zermou","NER007007008",2022,2.38677858666763,0.0994491077778177,0.0736010880503762,0.111903231021319
"Garagoumsa","NER007008002",1981,329.284225637285,4.57339202274007,0.283220939087278,10.1701143144883
"Garagoumsa","NER007008002",1982,329.730073608526,4.57958435567397,0.335229339703991,10.4865671995
"Garagoumsa","NER007008002",1983,302.711411351123,4.20432515765449,0.313089373277159,8.6925089665925
"Garagoumsa","NER007008002",1984,178.134464255066,2.47408978132037,0.285742071403577,6.46494159750241
"Garagoumsa","NER007008002",1985,321.917732766615,4.47107962175855,0.395081398512094,8.52984910501596
"Garagoumsa","NER007008002",1986,371.110805513918,5.15431674324886,0.282470509021188,9.28344701561527
"Garagoumsa","NER007008002",1987,252.420221852168,3.50583641461345,0.282500254799371,7.1555553991286
"Garagoumsa","NER007008002",1988,389.742989466755,5.41309707592715,0.285692758574788,10.7415940354255
"Garagoumsa","NER007008002",1989,421.102993242986,5.84865268393036,0.285719428714989,12.087632627521
"Garagoumsa","NER007008002",1990,318.484310917536,4.423393207188,0.282478283331809,8.25479984980046
"Garagoumsa","NER007008002",1991,342.748400258597,4.76039444803607,0.292837039623121,8.24650144699356
"Garagoumsa","NER007008002",1992,380.439590639662,5.28388320332863,0.323748103152933,9.03758433899325
"Garagoumsa","NER007008002",1993,313.673266481723,4.35657314557949,0.301338439198737,9.007386185295
"Garagoumsa","NER007008002",1994,420.100664390172,5.8347314498635,0.299468643906346,11.0082414401394
"Garagoumsa","NER007008002",1995,352.257664832518,4.89246756711831,0.317215634979013,8.26585176747659
"Garagoumsa","NER007008002",1996,324.198803889268,4.50276116512873,0.283300031092477,8.79289777552894
"Garagoumsa","NER007008002",1997,403.965280493565,5.61062889574396,0.306298875814093,9.66016423940161
"Garagoumsa","NER007008002",1998,442.307759696291,6.14316332911516,0.319878829976676,11.9899822106758
"Garagoumsa","NER007008002",1999,482.727768268175,6.70455233705799,0.286788829212045,11.7932186695174
"Garagoumsa","NER007008002",2000,367.73390057009,5.10741528569569,0.286671205509329,9.3086364445211
"Garagoumsa","NER007008002",2001,503.454119376063,6.99241832466754,0.301334778515984,12.8275914182967
"Garagoumsa","NER007008002",2002,480.644038637808,6.67561164774734,0.28559613129489,11.6892339496221
"Garagoumsa","NER007008002",2003,492.484393840091,6.84006102555682,0.314330979504521,12.1765605781078
"Garagoumsa","NER007008002",2004,432.785345978379,6.01090758303304,0.282381819323917,11.9608385144485
"Garagoumsa","NER007008002",2005,421.769293375616,5.85790685243911,0.297970493361208,10.0857998133228
"Garagoumsa","NER007008002",2006,409.956183691048,5.69383588459788,0.297920172687644,11.8777852263172
"Garagoumsa","NER007008002",2007,336.423073413531,4.67254268629904,0.30532854668535,9.48686635615637
"Garagoumsa","NER007008002",2008,455.299318534816,6.32360164631689,0.298094873139731,12.8105984235503
"Garagoumsa","NER007008002",2009,303.82362478372,4.21977256644056,0.363067405000094,6.72937181157905
"Garagoumsa","NER007008002",2010,445.184878060303,6.18312330639309,0.344016787497048,11.1936097543969
"Garagoumsa","NER007008002",2011,402.74522829186,5.59368372627584,0.309606411822119,11.2763380102755
"Garagoumsa","NER007008002",2012,478.113134608034,6.64046020288937,0.319249315501837,11.0144389245227
"Garagoumsa","NER007008002",2013,400.131247828776,5.55737844206633,0.353621071652351,10.8142004049804
"Garagoumsa","NER007008002",2014,377.626659598219,5.24481471664194,0.312168928798904,9.37106852436509
"Garagoumsa","NER007008002",2015,368.637329496626,5.11996290967536,0.312740785374603,9.82998398471922
"Garagoumsa","NER007008002",2016,353.168916543139,4.90512384087693,0.319169092278716,8.13769921131989
"Garagoumsa","NER007008002",2017,336.880388979839,4.67889429138666,0.291317216624059,8.57228311836118
"Garagoumsa","NER007008002",2018,487.318450583744,6.76831181366311,0.301730598005885,13.6206760822675
"Garagoumsa","NER007008002",2019,462.149910902409,6.41874876253346,0.327089740606908,11.5560803515735
"Garagoumsa","NER007008002",2020,502.971759904453,6.98571888756185,0.315031819753522,12.9150116585191
"Garagoumsa","NER007008002",2021,421.879519363708,5.85943776894038,0.332256766962854,10.8548935665503
"Garagoumsa","NER007008002",2022,4.01368478322695,0.16723686596779,0.133226166705994,0.183800511412851
"Tirmini","NER007008003",1981,312.782916527289,4.34420717399012,0.17924561457961,9.7210552599882
"Tirmini","NER007008003",1982,330.918406164919,4.59608897451276,0.179298987700703,10.9314431242543
"Tirmini","NER007008003",1983,286.050067991869,3.97291761099818,0.193967960712106,8.7829219421524
"Tirmini","NER007008003",1984,156.582264920369,2.17475367944957,0.182393525992628,5.56366386128669
"Tirmini","NER007008003",1985,304.738389358499,4.23247762997915,0.221992898176998,8.04498139215159
"Tirmini","NER007008003",1986,366.70960405074,5.09318894514917,0.180757751733838,8.73693899645218
"Tirmini","NER007008003",1987,245.81316524659,3.41407173953598,0.182224848443624,6.8037119606311
"Tirmini","NER007008003",1988,426.714938437177,5.92659636718301,0.182376332551455,12.7068489040675
"Tirmini","NER007008003",1989,378.869328350562,5.26207400486892,0.182392693485196,11.0315543108662
