"adm_03","rowcacode3","year","total_precip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Aderbissinat","NER001001001",1981,137.723379999046,134.291747683852,31.9143783046221,0.107526215376618
"Aderbissinat","NER001001001",1982,129.248225848073,134.291747683852,31.9143783046221,-0.158032902525606
"Aderbissinat","NER001001001",1983,102.431507946139,134.291747683852,31.9143783046221,-0.998303630846498
"Aderbissinat","NER001001001",1984,63.7396164300754,134.291747683852,31.9143783046221,-2.21066914042186
"Aderbissinat","NER001001001",1985,129.001074754687,134.291747683852,31.9143783046221,-0.165777095159617
"Aderbissinat","NER001001001",1986,148.513005617123,134.291747683852,31.9143783046221,0.445606610209652
"Aderbissinat","NER001001001",1987,96.8043906977338,134.291747683852,31.9143783046221,-1.1746228182264
"Aderbissinat","NER001001001",1988,187.274814379041,134.291747683852,31.9143783046221,1.66016289552837
"Aderbissinat","NER001001001",1989,134.248003276948,134.291747683852,31.9143783046221,-0.00137068021461276
"Aderbissinat","NER001001001",1990,88.8947897420136,134.291747683852,31.9143783046221,-1.42246098321345
"Aderbissinat","NER001001001",1991,134.455530806339,134.291747683852,31.9143783046221,0.00513195403412212
"Aderbissinat","NER001001001",1992,126.113386714265,134.291747683852,31.9143783046221,-0.25625944806209
"Aderbissinat","NER001001001",1993,120.735893506357,134.291747683852,31.9143783046221,-0.424756955880663
"Aderbissinat","NER001001001",1994,180.746042606909,134.291747683852,31.9143783046221,1.45559141023058
"Aderbissinat","NER001001001",1995,106.703850722751,134.291747683852,31.9143783046221,-0.864434729004436
"Aderbissinat","NER001001001",1996,99.4706481545346,134.291747683852,31.9143783046221,-1.09107873563919
"Aderbissinat","NER001001001",1997,132.163301161719,134.291747683852,31.9143783046221,-0.0666924012060313
"Aderbissinat","NER001001001",1998,190.995338207537,134.291747683852,31.9143783046221,1.77674119114746
"Aderbissinat","NER001001001",1999,205.196986041487,134.291747683852,31.9143783046221,2.22173334165704
"Aderbissinat","NER001001001",2000,115.771657072994,134.291747683852,31.9143783046221,-0.580305542350984
"Aderbissinat","NER001001001",2001,136.553921630473,134.291747683852,31.9143783046221,0.0708825948300973
"Aderbissinat","NER001001001",2002,150.005537736644,134.291747683852,31.9143783046221,0.492373371738722
"Aderbissinat","NER001001001",2003,172.125960340417,134.291747683852,31.9143783046221,1.18549113805189
"Aderbissinat","NER001001001",2004,115.943729982253,134.291747683852,31.9143783046221,-0.574913837470613
"Aderbissinat","NER001001001",2005,144.263001616582,134.291747683852,31.9143783046221,0.312437667986326
"Aderbissinat","NER001001001",2006,123.915010517459,134.291747683852,31.9143783046221,-0.325143014454084
"Aderbissinat","NER001001001",2007,143.211491981544,134.291747683852,31.9143783046221,0.279489834097749
"Aderbissinat","NER001001001",2008,136.997409774189,134.291747683852,31.9143783046221,0.0847787810406707
"Aderbissinat","NER001001001",2009,108.657163861292,134.291747683852,31.9143783046221,-0.803229929089595
"Aderbissinat","NER001001001",2010,166.847759388939,134.291747683852,31.9143783046221,1.02010483783642
"Aderbissinat","NER001001001",2011,132.813469539032,134.291747683852,31.9143783046221,-0.0463201297769506
"Aderbissinat","NER001001001",2012,150.546084056774,134.291747683852,31.9143783046221,0.50931076324829
"Aderbissinat","NER001001001",2013,133.393580287142,134.291747683852,31.9143783046221,-0.0281430328404879
"Aderbissinat","NER001001001",2014,119.632960916355,134.291747683852,31.9143783046221,-0.459316068374542
"Aderbissinat","NER001001001",2015,153.897926446556,134.291747683852,31.9143783046221,0.614336853927184
"Aderbissinat","NER001001001",2016,133.652126145243,134.291747683852,31.9143783046221,-0.0200417984804105
"Aderbissinat","NER001001001",2017,117.459348463148,134.291747683852,31.9143783046221,-0.527423691605069
"Aderbissinat","NER001001001",2018,161.989161534163,134.291747683852,31.9143783046221,0.867866313607613
"Aderbissinat","NER001001001",2019,143.921945857404,134.291747683852,31.9143783046221,0.301751081648272
"Aderbissinat","NER001001001",2020,160.449424190556,134.291747683852,31.9143783046221,0.819620431174615
"Aderbissinat","NER001001001",2021,126.280827629362,134.291747683852,31.9143783046221,-0.251012881342263
"Aderbissinat","NER001001001",2022,1.16514101913489,134.291747683852,31.9143783046221,-4.17136769496265
"Gougaram","NER001002003",1981,67.3348555590811,59.953211380833,17.227367319787,0.428483589002583
"Gougaram","NER001002003",1982,41.7124765605053,59.953211380833,17.227367319787,-1.05882312031373
"Gougaram","NER001002003",1983,37.5896580825896,59.953211380833,17.227367319787,-1.29814108465413
"Gougaram","NER001002003",1984,36.3731252293869,59.953211380833,17.227367319787,-1.36875737968172
"Gougaram","NER001002003",1985,48.0709745737663,59.953211380833,17.227367319787,-0.68973027546809
"Gougaram","NER001002003",1986,56.7552493629355,59.953211380833,17.227367319787,-0.185632659856528
"Gougaram","NER001002003",1987,48.4137234575449,59.953211380833,17.227367319787,-0.669834671141772
"Gougaram","NER001002003",1988,60.619139718004,59.953211380833,17.227367319787,0.0386552585087165
"Gougaram","NER001002003",1989,62.6942984140894,59.953211380833,17.227367319787,0.159112357818484
"Gougaram","NER001002003",1990,36.4224302958896,59.953211380833,17.227367319787,-1.36589535987408
"Gougaram","NER001002003",1991,64.514749333449,59.953211380833,17.227367319787,0.264784390321599
"Gougaram","NER001002003",1992,58.6892719628369,59.953211380833,17.227367319787,-0.073368112174886
"Gougaram","NER001002003",1993,43.3291906714736,59.953211380833,17.227367319787,-0.964977433915008
"Gougaram","NER001002003",1994,79.9704603564777,59.953211380833,17.227367319787,1.16194474779982
"Gougaram","NER001002003",1995,56.3174687299148,59.953211380833,17.227367319787,-0.211044588730762
"Gougaram","NER001002003",1996,36.1617564227969,59.953211380833,17.227367319787,-1.38102674171867
"Gougaram","NER001002003",1997,97.6067056231107,59.953211380833,17.227367319787,2.18567895740109
"Gougaram","NER001002003",1998,100.94356430732,59.953211380833,17.227367319787,2.37937417630876
"Gougaram","NER001002003",1999,91.8902020096042,59.953211380833,17.227367319787,1.85385207361829
"Gougaram","NER001002003",2000,60.1971506652564,59.953211380833,17.227367319787,0.0141599862529907
"Gougaram","NER001002003",2001,68.0731808565932,59.953211380833,17.227367319787,0.471341286514147
"Gougaram","NER001002003",2002,60.3694752509369,59.953211380833,17.227367319787,0.0241629415787651
"Gougaram","NER001002003",2003,74.2773613851951,59.953211380833,17.227367319787,0.831476437372393
"Gougaram","NER001002003",2004,51.0943940384129,59.953211380833,17.227367319787,-0.51422931768832
"Gougaram","NER001002003",2005,47.8209015414098,59.953211380833,17.227367319787,-0.704246308458764
"Gougaram","NER001002003",2006,57.3321865890755,59.953211380833,17.227367319787,-0.15214308391434
"Gougaram","NER001002003",2007,67.8233134303842,59.953211380833,17.227367319787,0.456837188379431
"Gougaram","NER001002003",2008,56.438074201501,59.953211380833,17.227367319787,-0.204043781854848
"Gougaram","NER001002003",2009,52.7627362267885,59.953211380833,17.227367319787,-0.417386767262206
"Gougaram","NER001002003",2010,76.9982665686599,59.953211380833,17.227367319787,0.989417295830765
"Gougaram","NER001002003",2011,59.2153284307383,59.953211380833,17.227367319787,-0.0428320204937622
"Gougaram","NER001002003",2012,65.2823679391297,59.953211380833,17.227367319787,0.309342481609233
"Gougaram","NER001002003",2013,53.6340674469572,59.953211380833,17.227367319787,-0.366808451725399
"Gougaram","NER001002003",2014,50.8421022222934,59.953211380833,17.227367319787,-0.528874144807646
"Gougaram","NER001002003",2015,75.7512995376587,59.953211380833,17.227367319787,0.917034382768416
"Gougaram","NER001002003",2016,58.4723318877477,59.953211380833,17.227367319787,-0.0859608706075674
"Gougaram","NER001002003",2017,53.1187488554521,59.953211380833,17.227367319787,-0.396721240019709
"Gougaram","NER001002003",2018,88.3964396004535,59.953211380833,17.227367319787,1.65104903678179
