"admin2Name","admin2Pcod","year","total_precip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Dosso","NE0304",2012,630.496626856327,563.080360906806,79.2527164818111,0.850649276671712
"Dosso","NE0304",2013,525.450973527919,563.080360906806,79.2527164818111,-0.474802493205693
"Dosso","NE0304",2014,559.81349834146,563.080360906806,79.2527164818111,-0.0412208276305155
"Dosso","NE0304",2015,564.872077156411,563.080360906806,79.2527164818111,0.0226076320048405
"Dosso","NE0304",2016,538.363985491035,563.080360906806,79.2527164818111,-0.311867864131111
"Dosso","NE0304",2017,565.09747223783,563.080360906806,79.2527164818111,0.0254516364935796
"Dosso","NE0304",2018,667.83331606506,563.080360906806,79.2527164818111,1.32175854416668
"Dosso","NE0304",2019,594.660796556789,563.080360906806,79.2527164818111,0.398477642810273
"Dosso","NE0304",2020,803.284776473269,563.080360906806,79.2527164818111,3.03086665327858
"Dosso","NE0304",2021,541.800030965205,563.080360906806,79.2527164818111,-0.268512309562103
"Falmey","NE0305",1981,609.780356632515,640.732807316781,98.4405096159588,-0.314427980970626
"Falmey","NE0305",1982,538.124797491077,640.732807316781,98.4405096159588,-1.0423352157156
"Falmey","NE0305",1983,515.670903429003,640.732807316781,98.4405096159588,-1.27043129272365
"Falmey","NE0305",1984,446.599050704118,640.732807316781,98.4405096159588,-1.97209215362687
"Falmey","NE0305",1985,591.447745471061,640.732807316781,98.4405096159588,-0.500658337080876
"Falmey","NE0305",1986,680.229523139797,640.732807316781,98.4405096159588,0.401224211222626
"Falmey","NE0305",1987,550.767972927942,640.732807316781,98.4405096159588,-0.913900534849055
"Falmey","NE0305",1988,785.942404083323,640.732807316781,98.4405096159588,1.47510001048391
"Falmey","NE0305",1989,641.612659622485,640.732807316781,98.4405096159588,0.00893790888666581
"Falmey","NE0305",1990,619.515166789273,640.732807316781,98.4405096159588,-0.215537694901045
"Falmey","NE0305",NA,2030.88959920888,640.732807316781,98.4405096159588,14.1217959691133
"Falmey","NE0305",1991,620.412462915591,640.732807316781,98.4405096159588,-0.206422584365572
"Falmey","NE0305",1992,702.721654940751,640.732807316781,98.4405096159588,0.629708723225879
"Falmey","NE0305",1993,530.299250737878,640.732807316781,98.4405096159588,-1.12183040304985
"Falmey","NE0305",1994,938.010380551231,640.732807316781,98.4405096159588,3.01987031958901
"Falmey","NE0305",1995,599.868802576753,640.732807316781,98.4405096159588,-0.415113705723876
"Falmey","NE0305",1996,585.878119083488,640.732807316781,98.4405096159588,-0.557236938809999
"Falmey","NE0305",1997,516.314125768512,640.732807316781,98.4405096159588,-1.26389717031796
"Falmey","NE0305",1998,682.501342506818,640.732807316781,98.4405096159588,0.424302305554769
"Falmey","NE0305",1999,729.517389368984,640.732807316781,98.4405096159588,0.901911036407409
"Falmey","NE0305",2000,597.254497376865,640.732807316781,98.4405096159588,-0.441670914845274
"Falmey","NE0305",2001,628.430043103743,640.732807316781,98.4405096159588,-0.124976640826362
"Falmey","NE0305",2002,726.568657107373,640.732807316781,98.4405096159588,0.871956576875305
"Falmey","NE0305",2003,763.354052238758,640.732807316781,98.4405096159588,1.24563805490599
"Falmey","NE0305",2004,618.623381080974,640.732807316781,98.4405096159588,-0.224596828298235
"Falmey","NE0305",2005,700.537343707987,640.732807316781,98.4405096159588,0.607519573237877
"Falmey","NE0305",2006,627.828075401806,640.732807316781,98.4405096159588,-0.131091681314121
"Falmey","NE0305",2007,667.308574472803,640.732807316781,98.4405096159588,0.269967793337324
"Falmey","NE0305",2008,673.981258312082,640.732807316781,98.4405096159588,0.337751715477819
"Falmey","NE0305",2009,576.528865236251,640.732807316781,98.4405096159588,-0.652210582117116
"Falmey","NE0305",2010,756.355362724182,640.732807316781,98.4405096159588,1.17454243033152
"Falmey","NE0305",2011,541.899404255747,640.732807316781,98.4405096159588,-1.00399117646391
"Falmey","NE0305",2012,730.168627688142,640.732807316781,98.4405096159588,0.908526588497688
"Falmey","NE0305",2013,616.461713612445,640.732807316781,98.4405096159588,-0.246555953428358
"Falmey","NE0305",2014,631.217028195517,640.732807316781,98.4405096159588,-0.096665276910767
"Falmey","NE0305",2015,612.882710997935,640.732807316781,98.4405096159588,-0.282912963651818
"Falmey","NE0305",2016,633.181148130132,640.732807316781,98.4405096159588,-0.0767129225164519
"Falmey","NE0305",2017,673.100118974745,640.732807316781,98.4405096159588,0.328800732383829
"Falmey","NE0305",2018,752.160611891842,640.732807316781,98.4405096159588,1.13193039135788
"Falmey","NE0305",2019,704.094652295918,640.732807316781,98.4405096159588,0.643656206437042
"Falmey","NE0305",2020,900.868983308987,640.732807316781,98.4405096159588,2.64257242274612
"Falmey","NE0305",2021,666.31345476694,640.732807316781,98.4405096159588,0.259858949836357
"Gaya","NE0306",1981,744.038197543846,711.750285850701,102.820948240348,0.314020753997237
"Gaya","NE0306",1982,613.952646194791,711.750285850701,102.820948240348,-0.951145085992632
"Gaya","NE0306",1983,582.848190475708,711.750285850701,102.820948240348,-1.25365596778664
"Gaya","NE0306",1984,430.026272409323,711.750285850701,102.820948240348,-2.73994762995996
"Gaya","NE0306",1985,680.494987469544,711.750285850701,102.820948240348,-0.303977923915822
"Gaya","NE0306",1986,717.572723420262,711.750285850701,102.820948240348,0.0566269585060733
"Gaya","NE0306",1987,575.163561544987,711.750285850701,102.820948240348,-1.32839393764816
"Gaya","NE0306",1988,824.936606272795,711.750285850701,102.820948240348,1.1008099259843
"Gaya","NE0306",1989,730.177488210135,711.750285850701,102.820948240348,0.17921642111644
"Gaya","NE0306",1990,610.547399514803,711.750285850701,102.820948240348,-0.984263304976844
"Gaya","NE0306",NA,2033.56783015836,711.750285850701,102.820948240348,12.8555276617159
"Gaya","NE0306",1991,683.534865987682,711.750285850701,102.820948240348,-0.274413145821848
"Gaya","NE0306",1992,720.475525888921,711.750285850701,102.820948240348,0.0848585836596639
"Gaya","NE0306",1993,624.849446930747,711.750285850701,102.820948240348,-0.845166674759889
"Gaya","NE0306",1994,954.211834871462,711.750285850701,102.820948240348,2.35809485489276
"Gaya","NE0306",1995,660.564625733651,711.750285850701,102.820948240348,-0.497813538904554
"Gaya","NE0306",1996,714.105790822741,711.750285850701,102.820948240348,0.0229088042111168
"Gaya","NE0306",1997,626.437341646659,711.750285850701,102.820948240348,-0.829723375091033
"Gaya","NE0306",1998,810.748365341361,711.750285850701,102.820948240348,0.962820137188852
"Gaya","NE0306",1999,822.347000281453,711.750285850701,102.820948240348,1.075624338459
"Gaya","NE0306",2000,664.621010938791,711.750285850701,102.820948240348,-0.458362578039483
"Gaya","NE0306",2001,791.947355116726,711.750285850701,102.820948240348,0.779968193626852
"Gaya","NE0306",2002,803.423121350906,711.750285850701,102.820948240348,0.891577417530867
"Gaya","NE0306",2003,858.825821647868,711.750285850701,102.820948240348,1.43040439048832
"Gaya","NE0306",2004,646.261266222761,711.750285850701,102.820948240348,-0.636922930090634
"Gaya","NE0306",2005,751.622045061408,711.750285850701,102.820948240348,0.387778559652117
"Gaya","NE0306",2006,756.334166631436,711.750285850701,102.820948240348,0.433606979353254
"Gaya","NE0306",2007,767.597239320127,711.750285850701,102.820948240348,0.543147621425174
"Gaya","NE0306",2008,719.34758891631,711.750285850701,102.820948240348,0.0738886695330801
"Gaya","NE0306",2009,672.825071482332,711.750285850701,102.820948240348,-0.378572800917766
