"adm_03","rowcacode3","year","yeartotal_precip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Aderbissinat","NER001001001",1981,116.126624990513,110.124121582001,31.7358567627362,0.189139478835841
"Aderbissinat","NER001001001",1982,104.361800791688,110.124121582001,31.7358567627362,-0.181571300670827
"Aderbissinat","NER001001001",1983,78.313526163328,110.124121582001,31.7358567627362,-1.0023550224749
"Aderbissinat","NER001001001",1984,49.805199927644,110.124121582001,31.7358567627362,-1.90065521486668
"Aderbissinat","NER001001001",1985,108.535523456114,110.124121582001,31.7358567627362,-0.0500568847963805
"Aderbissinat","NER001001001",1986,120.755225181528,110.124121582001,31.7358567627362,0.334987130771605
"Aderbissinat","NER001001001",1987,70.7698303620593,110.124121582001,31.7358567627362,-1.24005762674574
"Aderbissinat","NER001001001",1988,165.645752672351,110.124121582001,31.7358567627362,1.74949211251618
"Aderbissinat","NER001001001",1989,110.088534247173,110.124121582001,31.7358567627362,-0.00112136045651226
"Aderbissinat","NER001001001",1990,64.9691965587812,110.124121582001,31.7358567627362,-1.42283617426203
"Aderbissinat","NER001001001",1991,101.851786136698,110.124121582001,31.7358567627362,-0.260662111854992
"Aderbissinat","NER001001001",1992,83.5386651168578,110.124121582001,31.7358567627362,-0.837710374857725
"Aderbissinat","NER001001001",1993,100.185097850309,110.124121582001,31.7358567627362,-0.313179625368158
"Aderbissinat","NER001001001",1994,161.803685771311,110.124121582001,31.7358567627362,1.62842820270073
"Aderbissinat","NER001001001",1995,78.6002022670953,110.124121582001,31.7358567627362,-0.993321829959868
"Aderbissinat","NER001001001",1996,70.9722389706542,110.124121582001,31.7358567627362,-1.23367971137676
"Aderbissinat","NER001001001",1997,106.910760256345,110.124121582001,31.7358567627362,-0.101253334664311
"Aderbissinat","NER001001001",1998,161.494875163514,110.124121582001,31.7358567627362,1.61869754976435
"Aderbissinat","NER001001001",1999,175.500886054402,110.124121582001,31.7358567627362,2.0600283446315
"Aderbissinat","NER001001001",2000,99.6557253901872,110.124121582001,31.7358567627362,-0.329860204187247
"Aderbissinat","NER001001001",2001,112.167324054768,110.124121582001,31.7358567627362,0.0643815129379561
"Aderbissinat","NER001001001",2002,131.710005462114,110.124121582001,31.7358567627362,0.680173345925193
"Aderbissinat","NER001001001",2003,145.407334745564,110.124121582001,31.7358567627362,1.11177755267008
"Aderbissinat","NER001001001",2004,92.6241022352618,110.124121582001,31.7358567627362,-0.55142734849015
"Aderbissinat","NER001001001",2005,112.283925321132,110.124121582001,31.7358567627362,0.068055630427075
"Aderbissinat","NER001001001",2006,104.214341104179,110.124121582001,31.7358567627362,-0.186217770076422
"Aderbissinat","NER001001001",2007,126.208309428523,110.124121582001,31.7358567627362,0.506814357235461
"Aderbissinat","NER001001001",2008,115.265391422917,110.124121582001,31.7358567627362,0.162001923545147
"Aderbissinat","NER001001001",2009,84.1311150943594,110.124121582001,31.7358567627362,-0.819042217198367
"Aderbissinat","NER001001001",2010,149.826661262647,110.124121582001,31.7358567627362,1.25103097034595
"Aderbissinat","NER001001001",2011,99.0241214493268,110.124121582001,31.7358567627362,-0.349762107122543
"Aderbissinat","NER001001001",2012,132.31148288402,110.124121582001,31.7358567627362,0.699125959254758
"Aderbissinat","NER001001001",2013,108.312504056352,110.124121582001,31.7358567627362,-0.0570842482430043
"Aderbissinat","NER001001001",2014,99.3126659392112,110.124121582001,31.7358567627362,-0.340670041575309
"Aderbissinat","NER001001001",2015,135.031637375573,110.124121582001,31.7358567627362,0.78483829756939
"Aderbissinat","NER001001001",2016,113.91489987877,110.124121582001,31.7358567627362,0.11944780079863
"Aderbissinat","NER001001001",2017,91.6723022867558,110.124121582001,31.7358567627362,-0.581418659442362
"Aderbissinat","NER001001001",2018,139.140269693527,110.124121582001,31.7358567627362,0.914301710158877
"Aderbissinat","NER001001001",2019,121.919984547678,110.124121582001,31.7358567627362,0.37168881413431
"Aderbissinat","NER001001001",2020,143.908654016939,110.124121582001,31.7358567627362,1.06455397399599
"Aderbissinat","NER001001001",2021,102.263152002617,110.124121582001,31.7358567627362,-0.247699932544876
"Gougaram","NER001002003",1981,55.1204179659457,42.583738853208,14.1501759891483,0.885973370391439
"Gougaram","NER001002003",1982,25.9782709629507,42.583738853208,14.1501759891483,-1.17351670417329
"Gougaram","NER001002003",1983,22.2296916401475,42.583738853208,14.1501759891483,-1.43843067596261
"Gougaram","NER001002003",1984,27.3906649833197,42.583738853208,14.1501759891483,-1.07370211377864
"Gougaram","NER001002003",1985,30.1151368020219,42.583738853208,14.1501759891483,-0.881162330471944
"Gougaram","NER001002003",1986,34.6371166527134,42.583738853208,14.1501759891483,-0.561591757345548
"Gougaram","NER001002003",1987,32.1779188571505,42.583738853208,14.1501759891483,-0.735384493029461
"Gougaram","NER001002003",1988,39.4646234462387,42.583738853208,14.1501759891483,-0.220429442669922
"Gougaram","NER001002003",1989,44.6032006457124,42.583738853208,14.1501759891483,0.142716372860174
"Gougaram","NER001002003",1990,24.0351447661008,42.583738853208,14.1501759891483,-1.3108384023868
"Gougaram","NER001002003",1991,41.1344623635708,42.583738853208,14.1501759891483,-0.10242109290716
"Gougaram","NER001002003",1992,42.1808636511374,42.583738853208,14.1501759891483,-0.0284713916194103
"Gougaram","NER001002003",1993,28.4711035195563,42.583738853208,14.1501759891483,-0.997346983138202
"Gougaram","NER001002003",1994,52.0435976253319,42.583738853208,14.1501759891483,0.668532941171799
"Gougaram","NER001002003",1995,42.2833897936676,42.583738853208,14.1501759891483,-0.0212258179524215
