"admin2Name","admin2Pcod","year","yeartotal_precip"
"Bilma","NE0103",2020,4.35291640343495
"Bilma","NE0103",2021,4.25887359743264
"Iferouane","NE0104",1981,11.8622670024136
"Iferouane","NE0104",1982,10.7352258050892
"Iferouane","NE0104",1983,10.2852776247089
"Iferouane","NE0104",1984,9.42205342719279
"Iferouane","NE0104",1985,10.0024880952959
"Iferouane","NE0104",1986,11.3230673390621
"Iferouane","NE0104",1987,11.159439983303
"Iferouane","NE0104",1988,11.1400808739652
"Iferouane","NE0104",1989,11.4083708299486
"Iferouane","NE0104",1990,9.89865368769152
"Iferouane","NE0104",1991,11.157785519155
"Iferouane","NE0104",1992,11.243468749457
"Iferouane","NE0104",1993,10.6690465072816
"Iferouane","NE0104",1994,11.8349784149883
"Iferouane","NE0104",1995,10.9108085418348
"Iferouane","NE0104",1996,9.48224819752654
"Iferouane","NE0104",1997,12.2030377476779
"Iferouane","NE0104",1998,13.4460036566372
"Iferouane","NE0104",1999,11.7311070566735
"Iferouane","NE0104",2000,10.8349794226308
"Iferouane","NE0104",2001,10.6917673479181
"Iferouane","NE0104",2002,9.55335919566234
"Iferouane","NE0104",2003,11.1714594602317
"Iferouane","NE0104",2004,9.60635811611497
"Iferouane","NE0104",2005,10.1530684896084
"Iferouane","NE0104",2006,9.48106695949414
"Iferouane","NE0104",2007,10.7446325325622
"Iferouane","NE0104",2008,10.0214155644377
"Iferouane","NE0104",2009,10.2707369241406
"Iferouane","NE0104",2010,10.4829316687079
"Iferouane","NE0104",2011,9.9719737938985
"Iferouane","NE0104",2012,9.90272718322984
"Iferouane","NE0104",2013,10.0706057290765
"Iferouane","NE0104",2014,9.7531491522032
"Iferouane","NE0104",2015,14.5816077006579
"Iferouane","NE0104",2016,10.0455380913045
"Iferouane","NE0104",2017,11.0892846104859
"Iferouane","NE0104",2018,14.5830842643127
"Iferouane","NE0104",2019,13.5455521820871
"Iferouane","NE0104",2020,10.6330203452776
"Iferouane","NE0104",2021,9.70290093786242
"Ingall","NE0105",1981,82.7467896882404
"Ingall","NE0105",1982,74.6284662902213
"Ingall","NE0105",1983,67.7761452333935
"Ingall","NE0105",1984,44.6196308985848
"Ingall","NE0105",1985,80.0743614102511
"Ingall","NE0105",1986,94.366738823572
"Ingall","NE0105",1987,69.0964664799819
"Ingall","NE0105",1988,101.638809805762
"Ingall","NE0105",1989,106.779916517513
"Ingall","NE0105",1990,60.8015479046904
"Ingall","NE0105",1991,86.5834531788278
"Ingall","NE0105",1992,100.27507063688
"Ingall","NE0105",1993,68.9982068595619
"Ingall","NE0105",1994,138.304038568957
"Ingall","NE0105",1995,58.9926426504884
"Ingall","NE0105",1996,65.4610838823947
"Ingall","NE0105",1997,107.461568563612
"Ingall","NE0105",1998,148.426604551159
"Ingall","NE0105",1999,153.120374803094
"Ingall","NE0105",2000,74.6995070220416
"Ingall","NE0105",2001,106.389586884859
"Ingall","NE0105",2002,95.0425942495209
"Ingall","NE0105",2003,132.303886478607
"Ingall","NE0105",2004,79.7767712835374
"Ingall","NE0105",2005,103.704191228344
"Ingall","NE0105",2006,81.6955149275242
"Ingall","NE0105",2007,109.665305856931
"Ingall","NE0105",2008,101.27476649865
"Ingall","NE0105",2009,81.9073526300956
"Ingall","NE0105",2010,123.979146684244
"Ingall","NE0105",2011,89.9506250151821
"Ingall","NE0105",2012,124.259606878748
"Ingall","NE0105",2013,84.9481717410835
"Ingall","NE0105",2014,66.6711946076246
"Ingall","NE0105",2015,101.774424474772
"Ingall","NE0105",2016,97.3971572564843
"Ingall","NE0105",2017,81.1656976095226
"Ingall","NE0105",2018,140.871226516532
"Ingall","NE0105",2019,108.892292628234
"Ingall","NE0105",2020,128.345178270457
"Ingall","NE0105",2021,113.519314403867
"Tchirozerine","NE0106",1981,97.0007597639709
"Tchirozerine","NE0106",1982,78.0815068649846
"Tchirozerine","NE0106",1983,63.2843540623277
"Tchirozerine","NE0106",1984,37.9611353217638
"Tchirozerine","NE0106",1985,56.7988651286605
"Tchirozerine","NE0106",1986,80.9778790763094
"Tchirozerine","NE0106",1987,51.5144729795437
"Tchirozerine","NE0106",1988,123.962109686121
"Tchirozerine","NE0106",1989,95.0487187135641
"Tchirozerine","NE0106",1990,52.0233737809308
"Tchirozerine","NE0106",1991,66.0250725192021
"Tchirozerine","NE0106",1992,59.0788602021562
"Tchirozerine","NE0106",1993,55.6256938151593
"Tchirozerine","NE0106",1994,111.867094653856
"Tchirozerine","NE0106",1995,42.5235359643899
"Tchirozerine","NE0106",1996,52.7047849787536
"Tchirozerine","NE0106",1997,104.109529686735
"Tchirozerine","NE0106",1998,135.817197132885
"Tchirozerine","NE0106",1999,137.829384437743
"Tchirozerine","NE0106",2000,61.2535579034988
"Tchirozerine","NE0106",2001,63.4129301314176
"Tchirozerine","NE0106",2002,94.7523297096918
"Tchirozerine","NE0106",2003,91.9235789653403
"Tchirozerine","NE0106",2004,63.5797452369693
"Tchirozerine","NE0106",2005,64.9020545610908
"Tchirozerine","NE0106",2006,65.5537140936729
"Tchirozerine","NE0106",2007,76.3834720340338
"Tchirozerine","NE0106",2008,69.0075316548405
"Tchirozerine","NE0106",2009,75.4352936015546
"Tchirozerine","NE0106",2010,92.5913932936922
"Tchirozerine","NE0106",2011,68.3151580811123
"Tchirozerine","NE0106",2012,79.8291020933911
"Tchirozerine","NE0106",2013,59.9604720382705
"Tchirozerine","NE0106",2014,54.590351910894
"Tchirozerine","NE0106",2015,103.907965989699
"Tchirozerine","NE0106",2016,68.3984588422745
"Tchirozerine","NE0106",2017,61.5093033746869
"Tchirozerine","NE0106",2018,98.7344309798749
"Tchirozerine","NE0106",2019,96.4346991235988
"Tchirozerine","NE0106",2020,103.47675894154
"Tchirozerine","NE0106",2021,68.3162427499421
"Bosso","NE0201",1981,165.675922835273
"Bosso","NE0201",1982,162.953329105556
"Bosso","NE0201",1983,114.241618232458
"Bosso","NE0201",1984,96.3984319169095
"Bosso","NE0201",1985,214.482747288712
"Bosso","NE0201",1986,203.484282385418
"Bosso","NE0201",1987,157.516415801825
"Bosso","NE0201",1988,317.245047945773
"Bosso","NE0201",1989,153.541048532521
"Bosso","NE0201",1990,161.828995200389
"Bosso","NE0201",1991,237.038961986552
"Bosso","NE0201",1992,236.822777456743
"Bosso","NE0201",1993,208.239047835955
"Bosso","NE0201",1994,361.586616156079
"Bosso","NE0201",1995,243.115127417511
"Bosso","NE0201",1996,164.378145202091
"Bosso","NE0201",1997,171.809835125464
"Bosso","NE0201",1998,253.304096266421
"Bosso","NE0201",1999,306.991104763121
"Bosso","NE0201",2000,154.601271357704
"Bosso","NE0201",2001,169.997366185262
"Bosso","NE0201",2002,147.011002558775
"Bosso","NE0201",2003,264.808245935825
"Bosso","NE0201",2004,163.868140087247
"Bosso","NE0201",2005,221.897506407496
"Bosso","NE0201",2006,174.259862595337
"Bosso","NE0201",2007,264.80496017015
"Bosso","NE0201",2008,199.052115899961
"Bosso","NE0201",2009,141.9975297495
"Bosso","NE0201",2010,211.322902176239
"Bosso","NE0201",2011,206.069061206905
"Bosso","NE0201",2012,341.346301252089
"Bosso","NE0201",2013,218.853101210817
"Bosso","NE0201",2014,190.907308793465
"Bosso","NE0201",2015,219.714360050948
"Bosso","NE0201",2016,270.044877113928
"Bosso","NE0201",2017,211.887545698082
"Bosso","NE0201",2018,320.892187215165
"Bosso","NE0201",2019,283.200995593424
"Bosso","NE0201",2020,303.422289333775
"Bosso","NE0201",2021,233.071096104718
"Diffa","NE0202",1981,201.756567497389
"Diffa","NE0202",1982,203.124586440244
"Diffa","NE0202",1983,136.974011130552
"Diffa","NE0202",1984,98.4212040965712
"Diffa","NE0202",1985,236.313015203629
"Diffa","NE0202",1986,214.396843027673
"Diffa","NE0202",1987,155.743203074843
"Diffa","NE0202",1988,391.169214961384
"Diffa","NE0202",1989,213.482296808294
"Diffa","NE0202",1990,186.632916781219
"Diffa","NE0202",1991,265.081015487989
"Diffa","NE0202",1992,266.255290464066
"Diffa","NE0202",1993,241.71642352607
"Diffa","NE0202",1994,352.512400797942
"Diffa","NE0202",1995,251.784094958425
"Diffa","NE0202",1996,196.194551548957
"Diffa","NE0202",1997,212.920951333462
"Diffa","NE0202",1998,249.808824386091
"Diffa","NE0202",1999,363.669083946624
"Diffa","NE0202",2000,187.728437157948
"Diffa","NE0202",2001,214.799555467183
"Diffa","NE0202",2002,194.272676270952
"Diffa","NE0202",2003,337.843644239215
"Diffa","NE0202",2004,206.588741703985
"Diffa","NE0202",2005,270.253703441179
"Diffa","NE0202",2006,231.661378703025
"Diffa","NE0202",2007,332.821947166755
"Diffa","NE0202",2008,232.409723529829
"Diffa","NE0202",2009,173.060373101905
"Diffa","NE0202",2010,220.713879138985
"Diffa","NE0202",2011,255.844322104606
"Diffa","NE0202",2012,381.228920350026
"Diffa","NE0202",2013,278.677281546501
"Diffa","NE0202",2014,230.770456718707
"Diffa","NE0202",2015,250.201330241438
"Diffa","NE0202",2016,335.251603242121
"Diffa","NE0202",2017,268.825019301376
"Diffa","NE0202",2018,359.954857290129
"Diffa","NE0202",2019,361.422282974768
"Diffa","NE0202",2020,342.481235136868
"Diffa","NE0202",2021,308.84558863116
"Goudoumaria","NE0203",1981,228.047339906077
"Goudoumaria","NE0203",1982,252.111124726032
"Goudoumaria","NE0203",1983,152.089007164586
"Goudoumaria","NE0203",1984,77.3313581228882
"Goudoumaria","NE0203",1985,261.388375902495
"Goudoumaria","NE0203",1986,221.050152623638
"Goudoumaria","NE0203",1987,119.490965466293
"Goudoumaria","NE0203",1988,310.383390661263
"Goudoumaria","NE0203",1989,284.394601889133
"Goudoumaria","NE0203",1990,204.487360311386
"Goudoumaria","NE0203",1991,310.426009031869
"Goudoumaria","NE0203",1992,212.18430539074
"Goudoumaria","NE0203",1993,231.932357823235
"Goudoumaria","NE0203",1994,378.964574874896
"Goudoumaria","NE0203",1995,246.816733070809
"Goudoumaria","NE0203",1996,229.195391602991
"Goudoumaria","NE0203",1997,220.026440785707
"Goudoumaria","NE0203",1998,304.304779779612
"Goudoumaria","NE0203",1999,310.604823383337
"Goudoumaria","NE0203",2000,217.099996297658
"Goudoumaria","NE0203",2001,264.546781045042
"Goudoumaria","NE0203",2002,277.905611292148
"Goudoumaria","NE0203",2003,347.039127650955
"Goudoumaria","NE0203",2004,205.460192855015
"Goudoumaria","NE0203",2005,285.577343983074
"Goudoumaria","NE0203",2006,282.297466627563
"Goudoumaria","NE0203",2007,319.684744817276
"Goudoumaria","NE0203",2008,251.757922809377
"Goudoumaria","NE0203",2009,173.759688635111
"Goudoumaria","NE0203",2010,308.691375609349
"Goudoumaria","NE0203",2011,243.445468092508
"Goudoumaria","NE0203",2012,415.989017929852
"Goudoumaria","NE0203",2013,282.691418658689
"Goudoumaria","NE0203",2014,250.3255803497
"Goudoumaria","NE0203",2015,258.447739074115
"Goudoumaria","NE0203",2016,364.817331373556
"Goudoumaria","NE0203",2017,240.550797555375
"Goudoumaria","NE0203",2018,294.283640031405
"Goudoumaria","NE0203",2019,409.402528847477
"Goudoumaria","NE0203",2020,315.32732091492
"Goudoumaria","NE0203",2021,351.177140287645
"Maïné Soroa","NE0204",1981,197.17912257896
"Maïné Soroa","NE0204",1982,211.609036221178
"Maïné Soroa","NE0204",1983,127.699196280922
"Maïné Soroa","NE0204",1984,79.9309727606803
"Maïné Soroa","NE0204",1985,219.525542164573
"Maïné Soroa","NE0204",1986,180.607458989002
"Maïné Soroa","NE0204",1987,123.447079391987
"Maïné Soroa","NE0204",1988,321.019659186264
"Maïné Soroa","NE0204",1989,229.459453123482
"Maïné Soroa","NE0204",1990,183.593712230778
"Maïné Soroa","NE0204",1991,273.209723034428
"Maïné Soroa","NE0204",1992,230.836305931033
"Maïné Soroa","NE0204",1993,223.748936722133
"Maïné Soroa","NE0204",1994,353.529552837778
"Maïné Soroa","NE0204",1995,229.919669042475
"Maïné Soroa","NE0204",1996,201.904221637772
"Maïné Soroa","NE0204",1997,187.07154266035
"Maïné Soroa","NE0204",1998,260.900912474924
"Maïné Soroa","NE0204",1999,317.90901393577
"Maïné Soroa","NE0204",2000,170.949607854744
"Maïné Soroa","NE0204",2001,222.646734922792
"Maïné Soroa","NE0204",2002,230.082270669429
"Maïné Soroa","NE0204",2003,331.523265533323
"Maïné Soroa","NE0204",2004,197.343338321806
"Maïné Soroa","NE0204",2005,251.877713652847
"Maïné Soroa","NE0204",2006,245.864234786904
"Maïné Soroa","NE0204",2007,313.53509227285
"Maïné Soroa","NE0204",2008,223.104728315677
"Maïné Soroa","NE0204",2009,159.730917343524
"Maïné Soroa","NE0204",2010,234.483338212754
"Maïné Soroa","NE0204",2011,229.405512353847
"Maïné Soroa","NE0204",2012,384.442705366981
"Maïné Soroa","NE0204",2013,259.416386076617
"Maïné Soroa","NE0204",2014,232.222338960935
