"Region","Year","Precipitation"
"Tillabéri",2016,434
"Tillabéri",2017,419.4
"Tillabéri",2018,460.5
"Tillabéri",2019,409.8
"Tillabéri",2020,561
"Tillabéri",2021,385.8
"Zinder",1981,292.1
"Zinder",1982,285.8
"Zinder",1983,258.3
"Zinder",1984,158.1
"Zinder",1985,282.2
"Zinder",1986,312.1
"Zinder",1987,207.3
"Zinder",1988,377.2
"Zinder",1989,319
"Zinder",1990,260.9
"Zinder",1991,334.4
"Zinder",1992,331.1
"Zinder",1993,295.8
"Zinder",1994,420.3
"Zinder",1995,313.7
"Zinder",1996,275.1
"Zinder",1997,314
"Zinder",1998,391.6
"Zinder",1999,407.9
"Zinder",2000,298.3
"Zinder",2001,396.3
"Zinder",2002,369.8
"Zinder",2003,442.9
"Zinder",2004,338.5
"Zinder",2005,377.4
"Zinder",2006,347.1
"Zinder",2007,288.2
"Zinder",2008,377.4
"Zinder",2009,258.3
"Zinder",2010,395.1
"Zinder",2011,339.8
"Zinder",2012,452
"Zinder",2013,347.2
"Zinder",2014,314.8
"Zinder",2015,335.6
"Zinder",2016,314.8
"Zinder",2017,300.4
"Zinder",2018,409.6
"Zinder",2019,422.4
"Zinder",2020,411.3
"Zinder",2021,373.7
"Niamey",1981,491.5
"Niamey",1982,372.1
"Niamey",1983,485.7
"Niamey",1984,284.6
"Niamey",1985,379.4
"Niamey",1986,394
"Niamey",1987,378.6
"Niamey",1988,526.3
"Niamey",1989,528.1
"Niamey",1990,456.6
"Niamey",1991,503.1
"Niamey",1992,532.8
"Niamey",1993,437.7
"Niamey",1994,622.4
"Niamey",1995,519.1
"Niamey",1996,493.4
"Niamey",1997,361.1
"Niamey",1998,833.6
"Niamey",1999,607.2
"Niamey",2000,470.3
"Niamey",2001,499.2
"Niamey",2002,473
"Niamey",2003,507.4
"Niamey",2004,459.1
"Niamey",2005,579.9
"Niamey",2006,442.8
"Niamey",2007,546.6
"Niamey",2008,476.8
"Niamey",2009,456.8
"Niamey",2010,577.2
"Niamey",2011,347.5
"Niamey",2012,607.1
"Niamey",2013,525.8
"Niamey",2014,494.1
"Niamey",2015,525
"Niamey",2016,538.8
"Niamey",2017,593.1
"Niamey",2018,592.6
"Niamey",2019,519.6
"Niamey",2020,675.6
"Niamey",2021,509.7
