"admin1Name","admin1Pcod","admin2Name","admin2Pcod","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Maradi","NE04","Madarounfa","NE0406",1982,0.372066666666667,0.188731846942362,0.0587673292708937,0.367723269260371,0.0429411680255715,0.101147630723724
"Maradi","NE04","Ville de Maradi","NE0407",1982,0.3314,0.175601246105919,0.0531367628007425,0.389927586206897,0.0724374158278901,-0.807974518941384
"Maradi","NE04","Mayahi","NE0408",1982,0.2799,0.157427767851651,0.0366572660462726,0.296795093238622,0.0924649457520249,-0.182718900673254
"Maradi","NE04","Tessaoua","NE0409",1982,0.302890936863544,0.167348554798617,0.0444236079472508,0.294153497242936,0.0446312953743624,0.195769348555077
"Tahoua","NE05","Abalak","NE0501",1982,0.264394295302013,0.140877600741016,0.0348673407666588,0.265841258854455,0.0552149208593061,-0.0262060242036604
"Tahoua","NE05","Bagaroua","NE0502",1982,0.218,0.133416153358497,0.0309642492377731,0.250426813524331,0.0729506461301523,-0.444503445061722
"Tahoua","NE05","Birni N'Konni","NE0503",1982,0.30187223796034,0.155559770316235,0.0448391504295799,0.314315033173622,0.0411304314098121,-0.302520415828008
"Tahoua","NE05","Bouza","NE0504",1982,0.285575,0.149006016161724,0.0416748118976475,0.301488205022906,0.0474406881234677,-0.335433688935758
"Tahoua","NE05","Illéla","NE0505",1982,0.246905555555556,0.136818189104265,0.035416075533546,0.301977535214195,0.0655528472066141,-0.840115754012318
"Tahoua","NE05","Keita","NE0506",1982,0.22922,0.128985504210393,0.0356046998392395,0.284408391396136,0.0639208530986418,-0.863386339837641
"Tahoua","NE05","Madaoua","NE0507",1982,0.268216666666667,0.150213047831801,0.0377137322412378,0.301857876931498,0.0367890610478073,-0.914435142041663
"Tahoua","NE05","Malbaza","NE0508",1982,0.287601666666667,0.1446313112816,0.0433454180116924,0.326404903912219,0.0507048750251449,-0.765276262416766
"Tahoua","NE05","Tahoua","NE0509",1982,0.214029416167665,0.131050911769734,0.0304112041722653,0.24089490317064,0.0697837648559545,-0.384981908878514
"Tahoua","NE05","Tassara","NE0510",1982,0.1665934648898,0.126093156780921,0.0207884792875453,0.200544128212072,0.12008428289193,-0.28272362131542
"Tahoua","NE05","Tchintabaraden","NE0511",1982,0.2421,0.13736189429598,0.0318737961399673,0.247110925785725,0.0828363828875001,-0.0604918468317245
"Tahoua","NE05","Tillia","NE0512",1982,0.202177419354839,0.132715907417365,0.0262349820921322,0.255011213244035,0.143274717586131,-0.368758667120974
"Tahoua","NE05","Ville de Tahoua","NE0513",1982,0.2177,0.133703271028037,0.0313138237776775,0.282446551724138,0.124477655719406,-0.520145975998196
"Tillabéri","NE06","Abala","NE0601",1982,0.226637625289129,0.135480196546315,0.0299409747748238,0.240874079377126,0.10173224067664,-0.139940435729198
"Tillabéri","NE06","Ayerou","NE0602",1982,0.2375,0.136530489481909,0.0333395425361833,0.210352751051913,0.0338937015411937,0.800952616966099
"Tillabéri","NE06","Balleyara","NE0603",1982,0.2981,0.166743330681933,0.0447222042712219,0.290635390895119,0.0391794782088379,0.190523443551058
"Tillabéri","NE06","Banibangou","NE0604",1982,0.2651,0.136682847400286,0.0328115019928138,0.207182052970777,0.0345021391846982,1.67867698635074
"Tillabéri","NE06","Bankilaré","NE0605",1982,0.2587,0.150978248374113,0.0367147933869711,0.281795195174013,0.0547293217158616,-0.421989428151808
"Tillabéri","NE06","Filingué","NE0606",1982,0.279562953020134,0.148522911273153,0.0375306863782015,0.269202049623446,0.119777215047711,0.086501455160403
"Tillabéri","NE06","Gothèye","NE0607",1982,0.316307847082495,0.161507727433253,0.0449941916319688,0.29677210632967,0.0376499040357087,0.518878898981951
"Tillabéri","NE06","Kollo","NE0608",1982,0.3317394615061,0.168663576390261,0.0484929080354617,0.308263111844788,0.0613464436805562,0.382684769528912
"Tillabéri","NE06","Ouallam","NE0609",1982,0.238000563380282,0.139700430227335,0.0341111689288438,0.241293356359588,0.143935880925944,-0.0228768042973291
"Tillabéri","NE06","Say","NE0610",1982,0.47570105680317,0.195187142059263,0.07152945607709,0.461539854868698,0.0403614655649273,0.350859458056388
"Tillabéri","NE06","Téra","NE0611",1982,0.244266172985782,0.146901095017813,0.0336395174604361,0.269247790585431,0.0338958689098354,-0.737010686054443
"Tillabéri","NE06","Tillabéri","NE0612",1982,0.233153194263364,0.139557645192936,0.0341625797446651,0.234733065177059,0.0519144039815274,-0.0304322267526656
"Tillabéri","NE06","Torodi","NE0613",1982,0.386119949811794,0.18386171437784,0.0575490342932756,0.387322508496717,0.0437378629688388,-0.0274946831714248
"Zinder","NE07","Belbedji","NE0701",1982,0.245130321046373,0.13795914486444,0.0317155292726905,0.266985845352453,0.0968531521573991,-0.225656303581753
"Zinder","NE07","Damagaram Takaya","NE0702",1982,0.296680318091451,0.154796150156491,0.0417401081624339,0.292161090009666,0.0491262016245894,0.0919922145888579
"Zinder","NE07","Dungass","NE0703",1982,0.3425,0.177039882184213,0.0500663115230658,0.342014675448971,0.0356319634849434,0.0136204829473864
"Zinder","NE07","Gouré","NE0704",1982,0.33022,0.158933149631816,0.044112157147603,0.317484197746072,0.055625156688351,0.22895759782364
"Zinder","NE07","Kantché","NE0705",1982,0.3279,0.180725468855645,0.0472978016209026,0.328821414248232,0.0430973907127436,-0.0213798151812366
"Zinder","NE07","Magaria","NE0706",1982,0.3313,0.179563853604617,0.0482327031411119,0.347248067651263,0.0350037908370733,-0.455609728828901
"Zinder","NE07","Mirriah","NE0707",1982,0.303722372372372,0.167238127764543,0.0425994820323056,0.309012090869601,0.0348154801132802,-0.151935819354413
"Zinder","NE07","Takeita","NE0708",1982,0.278628713968958,0.15561671472907,0.0385643329057541,0.279014993812186,0.0383712155061889,-0.0100669170400823
"Zinder","NE07","Tanout","NE0709",1982,0.228109990446295,0.132311816617462,0.0259304760836101,0.236215454305854,0.0751330573787846,-0.107881459138485
"Zinder","NE07","Tesker","NE0710",1982,0.152953390177353,0.116528456291181,0.0143945410216194,0.17799944795074,0.0862315328383248,-0.290451264740314
"Zinder","NE07","Ville de Zinder","NE0711",1982,0.2913,0.157085046728972,0.0404888444599366,0.302393103448276,0.0549543247422964,-0.201860426823476
"Niamey","NE08","Ville de Niamey","NE0801",1982,0.2956,0.156375460122699,0.0425370965224105,0.284224137931035,0.0607537515312689,0.187245425710222
"Agadez","NE01","Aderbissinat","NE0101",1983,0.151320007846214,0.119060937346354,0.0141918225136299,0.180211308096059,0.0979608066997904,-0.294927136914914
"Agadez","NE01","Arlit","NE0102",1983,0.158578640221226,0.121263444138501,0.0188024531158464,0.185451635283366,0.127629955921426,-0.210553979025768
"Agadez","NE01","Bilma","NE0103",1983,0.139765605006566,0.11927737922557,0.0110801906940592,0.177781839002101,0.112754911418814,-0.337158120361854
"Agadez","NE01","Iferouane","NE0104",1983,0.142553087448248,0.120871173515558,0.0111962713222422,0.172324131546581,0.109144829976844,-0.272766416005682
"Agadez","NE01","Ingall","NE0105",1983,0.166140097621768,0.124076594735739,0.0188829096367567,0.194748929781735,0.151047832889221,-0.189402466839418
"Agadez","NE01","Tchirozerine","NE0106",1983,0.149404365620737,0.113422555888784,0.0174186547565736,0.174576386542067,0.0788631845746176,-0.31918595548868
"Diffa","NE02","Bosso","NE0201",1983,0.1902,0.140370206489676,0.0269680563330632,0.374668965517241,0.0851376075347949,-2.16671540179057
"Diffa","NE02","Diffa","NE0202",1983,0.207666666666667,0.143397287229342,0.0265462392106705,0.342494252498139,0.0676912266174965,-1.99180296426513
"Diffa","NE02","Goudoumaria","NE0203",1983,0.2989,0.154669779120084,0.0373313043408939,0.286670402802194,0.0332191815475857,0.36814866074553
"Diffa","NE02","Maïné Soroa","NE0204",1983,0.243798889770024,0.147938314822023,0.0306282764326455,0.292313031342947,0.041098561099268,-1.1804340657023
"Diffa","NE02","N'Gourti","NE0205",1983,0.136151255163648,0.106398982418997,0.0128306996045326,0.161815148472412,0.078493222513278,-0.326956805785659
"Diffa","NE02","N'Guigmi","NE0206",1983,0.178766666666667,0.124407978112412,0.022634586851737,0.262923740186671,0.0694140380345581,-1.21239270762647
"Dosso","NE03","Boboye","NE0301",1983,0.356365593321407,0.181104154070404,0.058026470776393,0.352858443633105,0.0590223808347471,0.0594206746441058
"Dosso","NE03","Dioundiou","NE0302",1983,0.4345,0.19642665118777,0.0753219064353157,0.408148346772153,0.0425914633213494,0.618707392817807
"Dosso","NE03","Dogondoutchi","NE0303",1983,0.267275,0.152498097231583,0.0398909528353148,0.294386488026791,0.0467128574930579,-0.580385989677895
"Dosso","NE03","Dosso","NE0304",1983,0.376525,0.186667747870829,0.0629178909168268,0.384847351750838,0.0638889535267699,-0.130262765179758
"Dosso","NE03","Falmey","NE0305",1983,0.4253,0.200068535769756,0.0743699459466031,0.430916607623441,0.0415244153016136,-0.135260366284381
"Dosso","NE03","Gaya","NE0306",1983,0.534671040189125,0.209606376433534,0.0878128273118715,0.484770746637419,0.0251393645797655,1.98494649271569
"Dosso","NE03","Loga","NE0307",1983,0.3130625,0.173421221147908,0.0543156399523762,0.332700579505896,0.0345799816594683,-0.567903120923689
"Dosso","NE03","Tibiri","NE0308",1983,0.336,0.177572051446832,0.0553369025605086,0.346118889619715,0.0856881015661658,-0.118089786502056
"Maradi","NE04","Aguié","NE0401",1983,0.3095,0.170769518211772,0.0473194319816335,0.347157841500467,0.117389950058926,-0.320792721025645
"Maradi","NE04","Bermo","NE0402",1983,0.253005314009662,0.146196777074959,0.0294918440683864,0.300274281518461,0.0570465761698136,-0.828603058807436
"Maradi","NE04","Dakoro","NE0403",1983,0.270972116349047,0.155358219175416,0.0374142550351913,0.29937487795186,0.0950528508591281,-0.29881020238843
"Maradi","NE04","Gazaoua","NE0404",1983,0.332,0.176329351032448,0.0495265764665868,0.358786206896552,0.118533276593953,-0.225980481315052
"Maradi","NE04","Guidan Roumdji","NE0405",1983,0.349952475247525,0.177356878869084,0.055177503427264,0.327486151735528,0.0397088642546464,0.565776028443529
"Maradi","NE04","Madarounfa","NE0406",1983,0.360166666666667,0.18026437844737,0.0594770023028745,0.367723269260371,0.0429411680255715,-0.175975711447908
"Maradi","NE04","Ville de Maradi","NE0407",1983,0.3193,0.16540796460177,0.0495704396457536,0.389927586206897,0.0724374158278901,-0.975015265242293
"Maradi","NE04","Mayahi","NE0408",1983,0.248966666666667,0.154489344144462,0.0327484473972723,0.296795093238622,0.0924649457520249,-0.517260094438629
"Maradi","NE04","Tessaoua","NE0409",1983,0.2999,0.16730574788121,0.0440805755993791,0.294153497242936,0.0446312953743624,0.128755007195357
"Tahoua","NE05","Abalak","NE0501",1983,0.207073128598848,0.138616351953777,0.0262384553081524,0.265841258854455,0.0552149208593061,-1.06435234065363
"Tahoua","NE05","Bagaroua","NE0502",1983,0.21735,0.131903322514121,0.0289271447372889,0.250426813524331,0.0729506461301523,-0.4534135786175
"Tahoua","NE05","Birni N'Konni","NE0503",1983,0.288393829113924,0.151817853937048,0.0429764134663487,0.314315033173622,0.0411304314098121,-0.630219600699689
"Tahoua","NE05","Bouza","NE0504",1983,0.245596026490066,0.145842202937372,0.035862727175316,0.301488205022906,0.0474406881234677,-1.17814856284075
"Tahoua","NE05","Illéla","NE0505",1983,0.228224378585086,0.135114879075384,0.0340719923291127,0.301977535214195,0.0655528472066141,-1.12509463390123
"Tahoua","NE05","Keita","NE0506",1983,0.205895918367347,0.125630043523122,0.0310699830640381,0.284408391396136,0.0639208530986418,-1.22827636401582
"Tahoua","NE05","Madaoua","NE0507",1983,0.2884,0.158235471943675,0.0434916717066184,0.301857876931498,0.0367890610478073,-0.365811916591448
"Tahoua","NE05","Malbaza","NE0508",1983,0.2558,0.143809976692398,0.0400492332908444,0.326404903912219,0.0507048750251449,-1.39246776325167
"Tahoua","NE05","Tahoua","NE0509",1983,0.213118691588785,0.131099919857232,0.0279504565148358,0.24089490317064,0.0697837648559545,-0.398032574470431
"Tahoua","NE05","Tassara","NE0510",1983,0.170051312711204,0.128754107494279,0.0198523059606616,0.200544128212072,0.12008428289193,-0.253928447308211
"Tahoua","NE05","Tchintabaraden","NE0511",1983,0.207585931034483,0.134663942412722,0.0264343909695915,0.247110925785725,0.0828363828875001,-0.477145348136706
"Tahoua","NE05","Tillia","NE0512",1983,0.2182,0.136571044224394,0.0267340823967845,0.255011213244035,0.143274717586131,-0.256927487725845
"Tahoua","NE05","Ville de Tahoua","NE0513",1983,0.2036,0.133459558823529,0.0262108658385292,0.282446551724138,0.124477655719406,-0.633419317454624
"Tillabéri","NE06","Abala","NE0601",1983,0.230649779735683,0.135527914961992,0.0298811153174479,0.240874079377126,0.10173224067664,-0.100502058869823
"Tillabéri","NE06","Ayerou","NE0602",1983,0.1785,0.126680736323934,0.0238651407283673,0.210352751051913,0.0338937015411937,-0.939783782930873
"Tillabéri","NE06","Balleyara","NE0603",1983,0.3201,0.166405388221177,0.0518158342506163,0.290635390895119,0.0391794782088379,0.752041896725284
"Tillabéri","NE06","Banibangou","NE0604",1983,0.208359541188738,0.130925355226073,0.0252885720800516,0.207182052970777,0.0345021391846982,0.0341279771569396
"Tillabéri","NE06","Bankilaré","NE0605",1983,0.245867763157895,0.148480722973577,0.032289763384513,0.281795195174013,0.0547293217158616,-0.656456738174873
"Tillabéri","NE06","Filingué","NE0606",1983,0.279388634835239,0.147269357792574,0.0423736048692788,0.269202049623446,0.119777215047711,0.0850461016958434
"Tillabéri","NE06","Gothèye","NE0607",1983,0.294749774774775,0.158976920682914,0.0412760317634247,0.29677210632967,0.0376499040357087,-0.0537141224311548
"Tillabéri","NE06","Kollo","NE0608",1983,0.333460859943092,0.173965249843595,0.0571240800431917,0.308263111844788,0.0613464436805562,0.410745050349031
"Tillabéri","NE06","Ouallam","NE0609",1983,0.226319191919192,0.137853227698388,0.0322650251085054,0.241293356359588,0.143935880925944,-0.104033576228993
"Tillabéri","NE06","Say","NE0610",1983,0.4511,0.195188137499044,0.0779040340820445,0.461539854868698,0.0403614655649273,-0.258658964003774
"Tillabéri","NE06","Téra","NE0611",1983,0.24258,0.14583205779267,0.0323140098276236,0.269247790585431,0.0338958689098354,-0.786756364215616
"Tillabéri","NE06","Tillabéri","NE0612",1983,0.2304,0.138322993950132,0.032146305737604,0.234733065177059,0.0519144039815274,-0.0834655672556914
"Tillabéri","NE06","Torodi","NE0613",1983,0.39600816542948,0.189570728204078,0.0673624575354532,0.387322508496717,0.0437378629688388,0.198584392176424
"Zinder","NE07","Belbedji","NE0701",1983,0.20128,0.135858957018978,0.0224906989273727,0.266985845352453,0.0968531521573991,-0.678406885980046
"Zinder","NE07","Damagaram Takaya","NE0702",1983,0.2925,0.153951052495181,0.0380164880296373,0.292161090009666,0.0491262016245894,0.00689876235341023
"Zinder","NE07","Dungass","NE0703",1983,0.346243910007758,0.172292817163351,0.0504782882654733,0.342014675448971,0.0356319634849434,0.118692155726238
"Zinder","NE07","Gouré","NE0704",1983,0.2917,0.153734358621569,0.0386366600529319,0.317484197746072,0.055625156688351,-0.46353483353821
"Zinder","NE07","Kantché","NE0705",1983,0.3358,0.177513948765981,0.0497888297419744,0.328821414248232,0.0430973907127436,0.161925945778998
"Zinder","NE07","Magaria","NE0706",1983,0.34368,0.178197003188483,0.0540980402922005,0.347248067651263,0.0350037908370733,-0.101933749629297
"Zinder","NE07","Mirriah","NE0707",1983,0.3207,0.167541403839393,0.0489939927949016,0.309012090869601,0.0348154801132802,0.33571012355338
"Zinder","NE07","Takeita","NE0708",1983,0.3045327176781,0.161323044269879,0.0452357640921033,0.279014993812186,0.0383712155061889,0.665022557385454
"Zinder","NE07","Tanout","NE0709",1983,0.160956617163885,0.126863074332169,0.016355146922336,0.236215454305854,0.0751330573787846,-1.00167409350254
"Zinder","NE07","Tesker","NE0710",1983,0.1505447861605,0.117432209447203,0.0148319983223715,0.17799944795074,0.0862315328383248,-0.31838308895326
"Zinder","NE07","Ville de Zinder","NE0711",1983,0.2846,0.156938938053097,0.0442134416232293,0.302393103448276,0.0549543247422964,-0.323779857758512
"Niamey","NE08","Ville de Niamey","NE0801",1983,0.2946,0.16250118694362,0.0496423050529276,0.284224137931035,0.0607537515312689,0.170785536817842
