"adm_03","rowcacode3","year","AnnualPrecip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Aderbissinat","NER001001001",1981,123.0280976479,121.358350396865,31.9451283326665,0.0522692297131099
"Aderbissinat","NER001001001",1982,114.983520825055,121.358350396865,31.9451283326665,-0.19955561002679
"Aderbissinat","NER001001001",1983,90.0952455922243,121.358350396865,31.9451283326665,-0.978650155324981
"Aderbissinat","NER001001001",1984,53.5660905694416,121.358350396865,31.9451283326665,-2.12214704919811
"Aderbissinat","NER001001001",1985,117.776170815475,121.358350396865,31.9451283326665,-0.11213539492112
"Aderbissinat","NER001001001",1986,136.616323950836,121.358350396865,31.9451283326665,0.477630685814738
"Aderbissinat","NER001001001",1987,83.8036117872122,121.358350396865,31.9451283326665,-1.17560143188562
"Aderbissinat","NER001001001",1988,175.999297462294,121.358350396865,31.9451283326665,1.71046259374562
"Aderbissinat","NER001001001",1989,123.251052309242,121.358350396865,31.9451283326665,0.0592485305636305
"Aderbissinat","NER001001001",1990,76.6557905897395,121.358350396865,31.9451283326665,-1.39935452259283
"Aderbissinat","NER001001001",1991,114.364776778879,121.358350396865,31.9451283326665,-0.218924574199773
"Aderbissinat","NER001001001",1992,110.488299571713,121.358350396865,31.9451283326665,-0.340272567133081
"Aderbissinat","NER001001001",1993,110.151644698744,121.358350396865,31.9451283326665,-0.350811102757762
"Aderbissinat","NER001001001",1994,169.399148685135,121.358350396865,31.9451283326665,1.50385366394487
"Aderbissinat","NER001001001",1995,93.7517982190464,121.358350396865,31.9451283326665,-0.864186610563354
"Aderbissinat","NER001001001",1996,87.2640721148687,121.358350396865,31.9451283326665,-1.06727629724786
"Aderbissinat","NER001001001",1997,117.428457667173,121.358350396865,31.9451283326665,-0.123020095232284
"Aderbissinat","NER001001001",1998,178.557488159317,121.358350396865,31.9451283326665,1.79054337070737
"Aderbissinat","NER001001001",1999,192.791766121224,121.358350396865,31.9451283326665,2.23612861969042
"Aderbissinat","NER001001001",2000,104.531443664859,121.358350396865,31.9451283326665,-0.526744064283472
"Aderbissinat","NER001001001",2001,124.961106725858,121.358350396865,31.9451283326665,0.112779522795308
"Aderbissinat","NER001001001",2002,136.700358740061,121.358350396865,31.9451283326665,0.480261283768515
"Aderbissinat","NER001001001",2003,159.237770148948,121.358350396865,31.9451283326665,1.18576514570921
"Aderbissinat","NER001001001",2004,100.434043362735,121.358350396865,31.9451283326665,-0.655007762568075
"Aderbissinat","NER001001001",2005,125.050815413723,121.358350396865,31.9451283326665,0.115587734643158
"Aderbissinat","NER001001001",2006,112.000559862677,121.358350396865,31.9451283326665,-0.292933258453012
"Aderbissinat","NER001001001",2007,131.69412935602,121.358350396865,31.9451283326665,0.323547892859338
"Aderbissinat","NER001001001",2008,125.068831169156,121.358350396865,31.9451283326665,0.116151694043977
"Aderbissinat","NER001001001",2009,95.9016965979656,121.358350396865,31.9451283326665,-0.796886884716871
"Aderbissinat","NER001001001",2010,155.197103298423,121.358350396865,31.9451283326665,1.05927741310574
"Aderbissinat","NER001001001",2011,117.815638552471,121.358350396865,31.9451283326665,-0.110899909604403
"Aderbissinat","NER001001001",2012,138.14770728577,121.358350396865,31.9451283326665,0.525568616099016
"Aderbissinat","NER001001001",2013,119.826404069793,121.358350396865,31.9451283326665,-0.0479555540086931
"Aderbissinat","NER001001001",2014,108.16810052898,121.358350396865,31.9451283326665,-0.412903330064165
"Aderbissinat","NER001001001",2015,142.950797861492,121.358350396865,31.9451283326665,0.675923015233182
"Aderbissinat","NER001001001",2016,120.703186183969,121.358350396865,31.9451283326665,-0.0205090493321372
"Aderbissinat","NER001001001",2017,103.9196040241,121.358350396865,31.9451283326665,-0.545896895174849
"Aderbissinat","NER001001001",2018,148.604627090346,121.358350396865,31.9451283326665,0.852908662934345
"Aderbissinat","NER001001001",2019,128.295195409957,121.358350396865,31.9451283326665,0.217148760238299
"Aderbissinat","NER001001001",2020,147.381864979737,121.358350396865,31.9451283326665,0.81463171197408
"Aderbissinat","NER001001001",2021,115.596696668893,121.358350396865,31.9451283326665,-0.180360951064951
