"admin2Name","admin2Pcod","year","AnnualPrecip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Tillabéri","NE0612",2018,397.761814239637,322.34120430068,64.9936933620756,1.16042966690313
"Tillabéri","NE0612",2019,344.530764546253,322.34120430068,64.9936933620756,0.341410975399674
"Tillabéri","NE0612",2020,493.168376593111,322.34120430068,64.9936933620756,2.62836536063222
"Tillabéri","NE0612",2021,311.912790726608,322.34120430068,64.9936933620756,-0.160452699863902
"Torodi","NE0613",1981,505.824821232274,505.070944653608,88.3211875734161,0.00853562547536142
"Torodi","NE0613",1982,408.93603371383,505.070944653608,88.3211875734161,-1.0884694101273
"Torodi","NE0613",1983,435.559422766214,505.070944653608,88.3211875734161,-0.787031105414135
"Torodi","NE0613",1984,324.346875862924,505.070944653608,88.3211875734161,-2.04621420698697
"Torodi","NE0613",1985,484.965291305641,505.070944653608,88.3211875734161,-0.227642470627506
"Torodi","NE0613",1986,447.442297493525,505.070944653608,88.3211875734161,-0.652489495934142
"Torodi","NE0613",1987,447.400716481418,505.070944653608,88.3211875734161,-0.652960289106767
"Torodi","NE0613",1988,582.297501929765,505.070944653608,88.3211875734161,0.874383139515229
"Torodi","NE0613",1989,565.460445620944,505.070944653608,88.3211875734161,0.683748742815961
"Torodi","NE0613",1990,456.052914292343,505.070944653608,88.3211875734161,-0.554997410112032
"Torodi","NE0613",1991,391.052207265091,505.070944653608,88.3211875734161,-1.2909556644462
"Torodi","NE0613",1992,515.427084352169,505.070944653608,88.3211875734161,0.117255439867729
"Torodi","NE0613",1993,490.30216246349,505.070944653608,88.3211875734161,-0.167216752807379
"Torodi","NE0613",1994,711.916071383448,505.070944653608,88.3211875734161,2.34196496234725
"Torodi","NE0613",1995,500.587632146667,505.070944653608,88.3211875734161,-0.0507614608693389
"Torodi","NE0613",1996,483.453996332232,505.070944653608,88.3211875734161,-0.244753823123221
"Torodi","NE0613",1997,405.705261198998,505.070944653608,88.3211875734161,-1.12504922300794
"Torodi","NE0613",1998,702.501172365268,505.070944653608,88.3211875734161,2.23536654268318
"Torodi","NE0613",1999,694.830018097527,505.070944653608,88.3211875734161,2.14851134430437
"Torodi","NE0613",2000,487.35015187029,505.070944653608,88.3211875734161,-0.200640336369885
