"Region","Year","Precipitation"
"Tillabéri",2013,396.865
"Tillabéri",2014,346.193
"Tillabéri",2015,415.822
"Tillabéri",2016,417.475
"Tillabéri",2017,385.348
"Tillabéri",2018,431.294
"Tillabéri",2019,400.225
"Tillabéri",2020,513.285
"Tillabéri",2021,340.253
"Zinder",1981,301.459
"Zinder",1982,317.195
"Zinder",1983,278.751
"Zinder",1984,152.1
"Zinder",1985,293.445
"Zinder",1986,352.547
"Zinder",1987,228.015
"Zinder",1988,403.267
"Zinder",1989,364.54
"Zinder",1990,272.955
"Zinder",1991,347.599
"Zinder",1992,355.146
"Zinder",1993,292.937
"Zinder",1994,412.949
"Zinder",1995,344.816
"Zinder",1996,277.023
"Zinder",1997,313.187
"Zinder",1998,382.883
"Zinder",1999,440.408
"Zinder",2000,318.084
"Zinder",2001,456.788
"Zinder",2002,400.709
"Zinder",2003,457.144
"Zinder",2004,358.341
"Zinder",2005,395.598
"Zinder",2006,367.82
"Zinder",2007,302.608
"Zinder",2008,431.595
"Zinder",2009,268.85
"Zinder",2010,407.546
"Zinder",2011,364.766
"Zinder",2012,468.852
"Zinder",2013,370.769
"Zinder",2014,332.756
"Zinder",2015,355.945
"Zinder",2016,344.99
"Zinder",2017,315.608
"Zinder",2018,442.387
"Zinder",2019,477.303
"Zinder",2020,451.088
"Zinder",2021,392.052
"Niamey",1981,492.764
"Niamey",1982,378.6
"Niamey",1983,484.147
"Niamey",1984,280.268
"Niamey",1985,373.184
"Niamey",1986,386.659
"Niamey",1987,372.168
"Niamey",1988,512.31
"Niamey",1989,531.865
"Niamey",1990,453.992
"Niamey",1991,505.066
"Niamey",1992,530.563
"Niamey",1993,436.546
"Niamey",1994,614.589
"Niamey",1995,508.254
"Niamey",1996,491.532
"Niamey",1997,356.278
"Niamey",1998,830.246
"Niamey",1999,610.489
"Niamey",2000,470.915
"Niamey",2001,497.472
"Niamey",2002,469.596
"Niamey",2003,502.605
"Niamey",2004,454.145
"Niamey",2005,575.108
"Niamey",2006,439.006
"Niamey",2007,547.741
"Niamey",2008,476.92
"Niamey",2009,456.054
"Niamey",2010,571.32
"Niamey",2011,345.69
"Niamey",2012,601.504
"Niamey",2013,522.792
"Niamey",2014,494.662
"Niamey",2015,521.381
"Niamey",2016,541.119
"Niamey",2017,586.119
"Niamey",2018,588.791
"Niamey",2019,519.988
"Niamey",2020,673.755
"Niamey",2021,506.311
