"adm_03","rowcacode3","year","AnnualPrecip"
"Dannet","NER001002002",2014,47.1788893291962
"Dannet","NER001002002",2015,72.1776799561876
"Dannet","NER001002002",2016,58.3144161868185
"Dannet","NER001002002",2017,53.576802147879
"Dannet","NER001002002",2018,93.2403856952624
"Dannet","NER001002002",2019,86.6924717975698
"Dannet","NER001002002",2020,92.3949443901605
"Dannet","NER001002002",2021,67.2242904596351
"Arlit","NER001002001",1981,45.4690722565621
"Arlit","NER001002001",1982,24.691301327006
"Arlit","NER001002001",1983,24.7057487408107
"Arlit","NER001002001",1984,19.7331583437362
"Arlit","NER001002001",1985,25.9651459780337
"Arlit","NER001002001",1986,42.3726869338012
"Arlit","NER001002001",1987,23.3891648063049
"Arlit","NER001002001",1988,47.537103544745
"Arlit","NER001002001",1989,37.1252030422121
"Arlit","NER001002001",1990,17.0519247003453
"Arlit","NER001002001",1991,33.0236774050417
"Arlit","NER001002001",1992,37.9616754244326
"Arlit","NER001002001",1993,23.5433661293389
"Arlit","NER001002001",1994,58.698030653234
"Arlit","NER001002001",1995,29.8582671959691
"Arlit","NER001002001",1996,18.8253822734194
"Arlit","NER001002001",1997,79.3948092470222
"Arlit","NER001002001",1998,77.2516562136018
"Arlit","NER001002001",1999,78.1626605444001
"Arlit","NER001002001",2000,38.9810683567669
"Arlit","NER001002001",2001,43.1207378625048
"Arlit","NER001002001",2002,43.3732511649894
"Arlit","NER001002001",2003,55.6837172395945
"Arlit","NER001002001",2004,33.4016596513766
"Arlit","NER001002001",2005,29.7874050933137
"Arlit","NER001002001",2006,43.1808997087845
"Arlit","NER001002001",2007,40.3924685935794
"Arlit","NER001002001",2008,37.2272016399513
"Arlit","NER001002001",2009,33.6373807272939
"Arlit","NER001002001",2010,51.7926240169602
"Arlit","NER001002001",2011,32.2480703706451
"Arlit","NER001002001",2012,37.2432900897585
"Arlit","NER001002001",2013,31.558599089227
"Arlit","NER001002001",2014,28.2650948952738
"Arlit","NER001002001",2015,38.8479617037606
"Arlit","NER001002001",2016,30.7912931015929
"Arlit","NER001002001",2017,30.8979883614523
"Arlit","NER001002001",2018,54.1587496596871
"Arlit","NER001002001",2019,44.5423526016251
"Arlit","NER001002001",2020,55.8030651723701
"Arlit","NER001002001",2021,33.7904822973972
"Djado","NER001003003",1981,4.88618964418672
"Djado","NER001003003",1982,4.87617608279257
"Djado","NER001003003",1983,4.89265728359131
"Djado","NER001003003",1984,4.80890696632418
"Djado","NER001003003",1985,4.88332520171202
"Djado","NER001003003",1986,4.94722571409034
"Djado","NER001003003",1987,4.93356333969613
"Djado","NER001003003",1988,5.11301073666718
"Djado","NER001003003",1989,5.15906071600659
"Djado","NER001003003",1990,4.99485949728111
"Djado","NER001003003",1991,4.94713067498473
"Djado","NER001003003",1992,5.07382380057577
"Djado","NER001003003",1993,5.25633894376215
"Djado","NER001003003",1994,5.04351663099511
"Djado","NER001003003",1995,5.17594270202001
"Djado","NER001003003",1996,4.85276893611888
"Djado","NER001003003",1997,5.4418417866076
"Djado","NER001003003",1998,5.37585032946027
"Djado","NER001003003",1999,5.71479766382619
"Djado","NER001003003",2000,4.48249335728902
"Djado","NER001003003",2001,4.36977891540709
"Djado","NER001003003",2002,4.59129685176553
"Djado","NER001003003",2003,5.30120854765434
"Djado","NER001003003",2004,4.72913786728846
"Djado","NER001003003",2005,4.95411526126219
"Djado","NER001003003",2006,4.83716693012079
"Djado","NER001003003",2007,5.46723670239118
"Djado","NER001003003",2008,4.7864887412518
"Djado","NER001003003",2009,4.67425203616548
"Djado","NER001003003",2010,5.14648739383108
"Djado","NER001003003",2011,4.87036475927327
"Djado","NER001003003",2012,5.30187554471785
"Djado","NER001003003",2013,4.92413939608277
"Djado","NER001003003",2014,4.90929393487525
"Djado","NER001003003",2015,6.40090088439503
"Djado","NER001003003",2016,5.66632263647097
"Djado","NER001003003",2017,5.53511400870499
"Djado","NER001003003",2018,7.07914227599134
"Djado","NER001003003",2019,6.85595217512763
"Djado","NER001003003",2020,4.99591365502783
"Djado","NER001003003",2021,4.4637995120776
"Dirkou","NER001003002",1981,7.46246413425622
"Dirkou","NER001003002",1982,6.76378483495616
"Dirkou","NER001003002",1983,6.63027244771122
"Dirkou","NER001003002",1984,6.57931349496763
"Dirkou","NER001003002",1985,7.21494353341795
"Dirkou","NER001003002",1986,7.13873783816147
"Dirkou","NER001003002",1987,6.98861448914695
"Dirkou","NER001003002",1988,10.3213030060664
"Dirkou","NER001003002",1989,8.55998876445415
"Dirkou","NER001003002",1990,6.50611107750756
"Dirkou","NER001003002",1991,7.25303788997526
"Dirkou","NER001003002",1992,7.36464270872849
"Dirkou","NER001003002",1993,7.39590888902361
"Dirkou","NER001003002",1994,8.46580322194269
"Dirkou","NER001003002",1995,8.14329382818085
"Dirkou","NER001003002",1996,6.53166272325854
"Dirkou","NER001003002",1997,10.4178747307894
"Dirkou","NER001003002",1998,10.5108392479858
"Dirkou","NER001003002",1999,12.7660412137778
"Dirkou","NER001003002",2000,6.40087708777723
"Dirkou","NER001003002",2001,5.71630699253419
"Dirkou","NER001003002",2002,6.22068063248788
"Dirkou","NER001003002",2003,6.53145094782722
"Dirkou","NER001003002",2004,12.2134374031432
"Dirkou","NER001003002",2005,10.0560696533976
"Dirkou","NER001003002",2006,7.25412385609505
"Dirkou","NER001003002",2007,11.8343281563771
"Dirkou","NER001003002",2008,8.11876272266026
"Dirkou","NER001003002",2009,8.1988216967791
"Dirkou","NER001003002",2010,6.75804406639667
"Dirkou","NER001003002",2011,8.18308247499043
"Dirkou","NER001003002",2012,8.10097969250423
"Dirkou","NER001003002",2013,6.53645306085455
"Dirkou","NER001003002",2014,7.35550818645224
"Dirkou","NER001003002",2015,11.9372739951836
"Dirkou","NER001003002",2016,11.716350291926
"Dirkou","NER001003002",2017,9.50446010724422
"Dirkou","NER001003002",2018,13.0028535838263
"Dirkou","NER001003002",2019,16.9357461842023
"Dirkou","NER001003002",2020,9.94061864567344
"Dirkou","NER001003002",2021,7.79103997244103
"Bilma","NER001003001",1981,6.84713912581789
"Bilma","NER001003001",1982,6.1213984505789
"Bilma","NER001003001",1983,6.4328671412539
"Bilma","NER001003001",1984,5.77857914688929
"Bilma","NER001003001",1985,6.07773361629413
"Bilma","NER001003001",1986,6.26621055728158
"Bilma","NER001003001",1987,5.97140985441641
"Bilma","NER001003001",1988,12.8421601496616
"Bilma","NER001003001",1989,7.40179521248357
"Bilma","NER001003001",1990,5.91852415643281
"Bilma","NER001003001",1991,7.62889405577889
"Bilma","NER001003001",1992,6.16948960605802
"Bilma","NER001003001",1993,5.93116924463677
"Bilma","NER001003001",1994,8.70212381058454
"Bilma","NER001003001",1995,8.242627251452
"Bilma","NER001003001",1996,6.48272340573037
"Bilma","NER001003001",1997,9.101626167214
"Bilma","NER001003001",1998,8.3408290301097
"Bilma","NER001003001",1999,9.72019340668441
"Bilma","NER001003001",2000,7.45778035666803
"Bilma","NER001003001",2001,5.62340692687157
"Bilma","NER001003001",2002,5.87302514227818
"Bilma","NER001003001",2003,7.41074057921005
"Bilma","NER001003001",2004,9.578962897826
"Bilma","NER001003001",2005,8.91482515241231
"Bilma","NER001003001",2006,7.98139561657909
"Bilma","NER001003001",2007,8.58215347014236
"Bilma","NER001003001",2008,9.91925494759429
"Bilma","NER001003001",2009,7.4300438743627
"Bilma","NER001003001",2010,8.44184240037135
"Bilma","NER001003001",2011,6.78622646176624
"Bilma","NER001003001",2012,7.24604825804977
"Bilma","NER001003001",2013,6.93229328871506
"Bilma","NER001003001",2014,6.32027590699162
"Bilma","NER001003001",2015,7.92142505115057
"Bilma","NER001003001",2016,10.8202168410877
"Bilma","NER001003001",2017,7.34591897126322
"Bilma","NER001003001",2018,10.2171327242772
"Bilma","NER001003001",2019,13.6002278970696
"Bilma","NER001003001",2020,11.266250276762
"Bilma","NER001003001",2021,8.78549865186881
"Fachi","NER001003004",1981,18.9406582002141
"Fachi","NER001003004",1982,15.950969904161
"Fachi","NER001003004",1983,16.4235905011235
"Fachi","NER001003004",1984,14.4172536803732
"Fachi","NER001003004",1985,15.2565919434795
"Fachi","NER001003004",1986,16.7120530884529
"Fachi","NER001003004",1987,15.5830878012202
"Fachi","NER001003004",1988,23.5921309831267
"Fachi","NER001003004",1989,17.015710456274
"Fachi","NER001003004",1990,14.8667836334172
"Fachi","NER001003004",1991,17.1986088355317
"Fachi","NER001003004",1992,15.8409067015422
"Fachi","NER001003004",1993,15.6591258663793
"Fachi","NER001003004",1994,18.349940495598
"Fachi","NER001003004",1995,18.6425889592344
"Fachi","NER001003004",1996,15.995313220187
"Fachi","NER001003004",1997,18.2827707967815
"Fachi","NER001003004",1998,20.4557593177407
"Fachi","NER001003004",1999,22.7537785450953
"Fachi","NER001003004",2000,15.7451360465354
"Fachi","NER001003004",2001,13.5434945973702
"Fachi","NER001003004",2002,15.1735581199682
"Fachi","NER001003004",2003,15.1549445142373
"Fachi","NER001003004",2004,18.8589508919193
"Fachi","NER001003004",2005,16.3361905447055
"Fachi","NER001003004",2006,16.8804259172578
"Fachi","NER001003004",2007,22.5824942070703
"Fachi","NER001003004",2008,20.6580881379088
"Fachi","NER001003004",2009,18.6379442481893
"Fachi","NER001003004",2010,20.7957824401462
"Fachi","NER001003004",2011,17.6059844429741
"Fachi","NER001003004",2012,18.7324497699307
"Fachi","NER001003004",2013,19.6015043443562
"Fachi","NER001003004",2014,18.2777504715344
"Fachi","NER001003004",2015,19.5564135348868
"Fachi","NER001003004",2016,23.3527799861238
"Fachi","NER001003004",2017,20.0266882885279
"Fachi","NER001003004",2018,24.1509882019067
"Fachi","NER001003004",2019,24.5103406110264
"Fachi","NER001003004",2020,22.8107347058623
"Fachi","NER001003004",2021,16.4911299706217
"Timia","NER001004002",1981,47.2590108466567
"Timia","NER001004002",1982,39.3800864721172
"Timia","NER001004002",1983,34.6394153647363
"Timia","NER001004002",1984,26.4759440582925
"Timia","NER001004002",1985,31.5357099327355
"Timia","NER001004002",1986,39.1842746267711
"Timia","NER001004002",1987,33.4914417007459
"Timia","NER001004002",1988,52.7705018492778
"Timia","NER001004002",1989,43.4742262433405
"Timia","NER001004002",1990,28.6522616189378
"Timia","NER001004002",1991,37.3766329224221
"Timia","NER001004002",1992,35.5221923098731
"Timia","NER001004002",1993,30.7237080040265
"Timia","NER001004002",1994,47.3424674441737
"Timia","NER001004002",1995,31.4121649019472
"Timia","NER001004002",1996,30.5717665564537
"Timia","NER001004002",1997,49.3707495382281
"Timia","NER001004002",1998,58.5426399577886
"Timia","NER001004002",1999,64.2327703988319
"Timia","NER001004002",2000,36.7724340243685
"Timia","NER001004002",2001,32.3013973647807
"Timia","NER001004002",2002,37.1350574152891
"Timia","NER001004002",2003,38.0087276546787
"Timia","NER001004002",2004,33.5206804997201
"Timia","NER001004002",2005,32.9629708849498
"Timia","NER001004002",2006,36.1534404579027
"Timia","NER001004002",2007,46.8647044613789
"Timia","NER001004002",2008,35.2612208958058
"Timia","NER001004002",2009,42.5518702002107
"Timia","NER001004002",2010,46.2971342055835
"Timia","NER001004002",2011,33.4074358396782
"Timia","NER001004002",2012,40.6338186517952
"Timia","NER001004002",2013,35.0162314365952
"Timia","NER001004002",2014,30.3419612017424
"Timia","NER001004002",2015,57.2955981490664
"Timia","NER001004002",2016,37.5700986286667
"Timia","NER001004002",2017,45.9913867803436
"Timia","NER001004002",2018,55.0627783691441
"Timia","NER001004002",2019,52.5152280688365
"Timia","NER001004002",2020,49.3974428617394
"Timia","NER001004002",2021,35.2848389665286
"Iferouane","NER001004001",1981,15.8328169525995
"Iferouane","NER001004001",1982,13.2001700436101
"Iferouane","NER001004001",1983,12.1603153403754
"Iferouane","NER001004001",1984,10.924270542064
