"admin1Name","admin1Pcod","admin2Name","admin2Pcod","year","total_precip","median_precip","sd_precip"
"Agadez","NE01","Aderbissinat","NE0101",1981,126.708916580738,0.173862968393496,3.91932127637667
"Agadez","NE01","Aderbissinat","NE0101",1982,115.116126226099,0.154679418282012,3.4382177521842
"Agadez","NE01","Aderbissinat","NE0101",1983,86.9552630231282,0.151012643756544,2.11285764368544
"Agadez","NE01","Aderbissinat","NE0101",1984,56.4839337932119,0.166862906035976,1.05233706354034
"Agadez","NE01","Aderbissinat","NE0101",1985,116.040617040344,0.150904945061638,3.33350584010768
"Agadez","NE01","Aderbissinat","NE0101",1986,129.20428284507,0.166085670294395,3.24605144224561
"Agadez","NE01","Aderbissinat","NE0101",1987,80.2341978359779,0.156442869860737,1.95497960559531
"Agadez","NE01","Aderbissinat","NE0101",1988,173.001000147967,0.146653245429985,5.98859035583669
"Agadez","NE01","Aderbissinat","NE0101",1989,117.293590336034,0.153055765271724,3.16846430366567
"Agadez","NE01","Aderbissinat","NE0101",1990,73.9945051146495,0.152939967045472,1.58271376788786
"Agadez","NE01","Aderbissinat","NE0101",NA,2031.73797975808,11.1944877662,998.048886971072
"Agadez","NE01","Aderbissinat","NE0101",1991,118.152126610983,0.151101006661782,2.9849127139369
"Agadez","NE01","Aderbissinat","NE0101",1992,95.6746077208664,0.158423303353228,2.15581758014515
"Agadez","NE01","Aderbissinat","NE0101",1993,106.976959589689,0.148068904864541,3.28500357522468
"Agadez","NE01","Aderbissinat","NE0101",1994,169.018612378733,0.149929816849585,4.66845304049811
"Agadez","NE01","Aderbissinat","NE0101",1995,87.1159870070711,0.156102763378775,1.92102711926981
"Agadez","NE01","Aderbissinat","NE0101",1996,79.788780331404,0.145218941579715,1.60504698663958
"Agadez","NE01","Aderbissinat","NE0101",1997,117.852959636977,0.143323218623701,2.95657455640014
"Agadez","NE01","Aderbissinat","NE0101",1998,169.654130236169,0.145034291477943,4.85095371506535
"Agadez","NE01","Aderbissinat","NE0101",1999,184.717562057525,0.14442773881492,5.12532532362813
"Agadez","NE01","Aderbissinat","NE0101",2000,106.67030267771,0.149991038388804,3.24580369148601
"Agadez","NE01","Aderbissinat","NE0101",2001,119.983406567908,0.149031840647167,3.4874819507394
"Agadez","NE01","Aderbissinat","NE0101",2002,140.867373275152,0.150472908465867,3.97926956884965
"Agadez","NE01","Aderbissinat","NE0101",2003,154.730387981706,0.194530102689615,3.97608515813031
"Agadez","NE01","Aderbissinat","NE0101",2004,105.519588836115,0.150921603275717,2.90796274092689
"Agadez","NE01","Aderbissinat","NE0101",2005,127.932531078293,0.137130156838531,3.13211864900463
"Agadez","NE01","Aderbissinat","NE0101",2006,112.499707366633,0.136335626831459,2.9228657168362
"Agadez","NE01","Aderbissinat","NE0101",2007,133.52010106281,0.139049984480829,3.83659648557645
"Agadez","NE01","Aderbissinat","NE0101",2008,123.14312107306,0.140008419498821,3.59174236841932
"Agadez","NE01","Aderbissinat","NE0101",2009,93.1202994242364,0.165619877156534,2.64278075936268
"Agadez","NE01","Aderbissinat","NE0101",2010,156.953377852133,0.134977092487552,4.36262045596575
"Agadez","NE01","Aderbissinat","NE0101",2011,110.6058858644,0.140359775517921,2.77862113254119
"Agadez","NE01","Aderbissinat","NE0101",2012,140.628282564916,0.14112608697781,3.68016990416346
"Agadez","NE01","Aderbissinat","NE0101",2013,117.278460884262,0.119060168591172,3.43380999649478
"Agadez","NE01","Aderbissinat","NE0101",2014,106.163942646598,0.126009613731857,2.6924025777815
"Agadez","NE01","Aderbissinat","NE0101",2015,141.435510092094,0.136383272034889,4.10501272910122
"Agadez","NE01","Aderbissinat","NE0101",2016,123.670736336383,0.130641760555457,3.012166767262
"Agadez","NE01","Aderbissinat","NE0101",2017,101.853503182661,0.139423977388109,2.3419229977475
"Agadez","NE01","Aderbissinat","NE0101",2018,147.403415701282,0.142942751899238,3.56149587100658
"Agadez","NE01","Aderbissinat","NE0101",2019,133.713704655744,0.129014043962776,3.53123755717481
"Agadez","NE01","Aderbissinat","NE0101",2020,152.33941413693,0.131614898407785,4.1926981488591
"Agadez","NE01","Aderbissinat","NE0101",2021,108.50830534118,0.143152391199807,2.77585160922035
"Agadez","NE01","Arlit","NE0102",1981,60.1164172423718,0.0604805249392632,1.99973776459812
"Agadez","NE01","Arlit","NE0102",1982,33.4420167132427,0.0605964911407892,0.753308961166824
"Agadez","NE01","Arlit","NE0102",1983,30.0870942893152,0.0611653429038718,0.728564709917337
"Agadez","NE01","Arlit","NE0102",1984,30.0391071538471,0.0604040789790615,0.58740198019144
"Agadez","NE01","Arlit","NE0102",1985,36.5217202533551,0.0606196812177476,0.829139661087143
"Agadez","NE01","Arlit","NE0102",1986,42.8475705528725,0.0605366894896214,1.06556764905401
"Agadez","NE01","Arlit","NE0102",1987,35.4776204530892,0.0604226449364555,0.826367700134731
"Agadez","NE01","Arlit","NE0102",1988,48.6131168633314,0.0623527199823588,1.47667808464134
"Agadez","NE01","Arlit","NE0102",1989,49.0164296041449,0.0624168467381866,1.67900083861363
"Agadez","NE01","Arlit","NE0102",1990,29.2669866062346,0.0604396498411358,0.694794242540253
