"admin2Name","admin2Pcod","year","yeartotal_precip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Iferouane","NE0104",2005,10.1530684896084,10.7642394913804,0.92608423827739,-0.659951845102975
"Iferouane","NE0104",2006,9.48106695949414,10.7642394913804,0.92608423827739,-1.38558943004264
"Iferouane","NE0104",2007,10.7446325325622,10.7642394913804,0.92608423827739,-0.0211718956092665
"Iferouane","NE0104",2008,10.0214155644377,10.7642394913804,0.92608423827739,-0.802112698002952
"Iferouane","NE0104",2009,10.2707369241406,10.7642394913804,0.92608423827739,-0.53289166022067
"Iferouane","NE0104",2010,10.4829316687079,10.7642394913804,0.92608423827739,-0.303760512322003
"Iferouane","NE0104",2011,9.9719737938985,10.7642394913804,0.92608423827739,-0.855500682049816
"Iferouane","NE0104",2012,9.90272718322984,10.7642394913804,0.92608423827739,-0.930274236988473
"Iferouane","NE0104",2013,10.0706057290765,10.7642394913804,0.92608423827739,-0.748996401875998
"Iferouane","NE0104",2014,9.7531491522032,10.7642394913804,0.92608423827739,-1.09179089480879
"Iferouane","NE0104",2015,14.5816077006579,10.7642394913804,0.92608423827739,4.12205288838325
"Iferouane","NE0104",2016,10.0455380913045,10.7642394913804,0.92608423827739,-0.776064822583296
"Iferouane","NE0104",2017,11.0892846104859,10.7642394913804,0.92608423827739,0.350988717516805
"Iferouane","NE0104",2018,14.5830842643127,10.7642394913804,0.92608423827739,4.12364730452137
"Iferouane","NE0104",2019,13.5455521820871,10.7642394913804,0.92608423827739,3.00330420899961
"Iferouane","NE0104",2020,10.6330203452776,10.7642394913804,0.92608423827739,-0.141692451592643
"Iferouane","NE0104",2021,9.70290093786242,10.7642394913804,0.92608423827739,-1.1460496892725
"Ingall","NE0105",1981,82.7467896882404,93.3530180163847,26.8456369131287,-0.395082015094878
"Ingall","NE0105",1982,74.6284662902213,93.3530180163847,26.8456369131287,-0.697489569227029
"Ingall","NE0105",1983,67.7761452333935,93.3530180163847,26.8456369131287,-0.952738534971506
"Ingall","NE0105",1984,44.6196308985848,93.3530180163847,26.8456369131287,-1.81531871549552
"Ingall","NE0105",1985,80.0743614102511,93.3530180163847,26.8456369131287,-0.494629970937281
"Ingall","NE0105",1986,94.366738823572,93.3530180163847,26.8456369131287,0.0377611010112246
"Ingall","NE0105",1987,69.0964664799819,93.3530180163847,26.8456369131287,-0.903556567307229
"Ingall","NE0105",1988,101.638809805762,93.3530180163847,26.8456369131287,0.308645751866109
"Ingall","NE0105",1989,106.779916517513,93.3530180163847,26.8456369131287,0.500151981663816
"Ingall","NE0105",1990,60.8015479046904,93.3530180163847,26.8456369131287,-1.21254229195714
"Ingall","NE0105",1991,86.5834531788278,93.3530180163847,26.8456369131287,-0.252166296499609
"Ingall","NE0105",1992,100.27507063688,93.3530180163847,26.8456369131287,0.257846466556007
"Ingall","NE0105",1993,68.9982068595619,93.3530180163847,26.8456369131287,-0.907216738259328
"Ingall","NE0105",1994,138.304038568957,93.3530180163847,26.8456369131287,1.67442555742046
"Ingall","NE0105",1995,58.9926426504884,93.3530180163847,26.8456369131287,-1.27992401435976
"Ingall","NE0105",1996,65.4610838823947,93.3530180163847,26.8456369131287,-1.0389745724509
"Ingall","NE0105",1997,107.461568563612,93.3530180163847,26.8456369131287,0.525543521015433
"Ingall","NE0105",1998,148.426604551159,93.3530180163847,26.8456369131287,2.0514911496788
"Ingall","NE0105",1999,153.120374803094,93.3530180163847,26.8456369131287,2.22633409593202
"Ingall","NE0105",2000,74.6995070220416,93.3530180163847,26.8456369131287,-0.694843301900606
"Ingall","NE0105",2001,106.389586884859,93.3530180163847,26.8456369131287,0.485612202484136
"Ingall","NE0105",2002,95.0425942495209,93.3530180163847,26.8456369131287,0.0629367162568605
"Ingall","NE0105",2003,132.303886478607,93.3530180163847,26.8456369131287,1.45091988647042
"Ingall","NE0105",2004,79.7767712835374,93.3530180163847,26.8456369131287,-0.505715203434338
"Ingall","NE0105",2005,103.704191228344,93.3530180163847,26.8456369131287,0.385581211779596
"Ingall","NE0105",2006,81.6955149275242,93.3530180163847,26.8456369131287,-0.434242000910004
"Ingall","NE0105",2007,109.665305856931,93.3530180163847,26.8456369131287,0.607632737242637
"Ingall","NE0105",2008,101.27476649865,93.3530180163847,26.8456369131287,0.295085138337357
"Ingall","NE0105",2009,81.9073526300956,93.3530180163847,26.8456369131287,-0.426351046292058
"Ingall","NE0105",2010,123.979146684244,93.3530180163847,26.8456369131287,1.14082332138232
"Ingall","NE0105",2011,89.9506250151821,93.3530180163847,26.8456369131287,-0.126739142461496
"Ingall","NE0105",2012,124.259606878748,93.3530180163847,26.8456369131287,1.15127046388861
"Ingall","NE0105",2013,84.9481717410835,93.3530180163847,26.8456369131287,-0.313080531577586
"Ingall","NE0105",2014,66.6711946076246,93.3530180163847,26.8456369131287,-0.993897946809805
"Ingall","NE0105",2015,101.774424474772,93.3530180163847,26.8456369131287,0.31369739841295
